User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user11	997	186	1272379479500	0	0	fb9db7a68980200d9a1f7450e7c3
user11	997	195	1272379479507	0	0	fb9db7a68980200d9a1f7450e7c3
user11	994	210	1272379479524	0	0	fb9db7a68980200d9a1f7450e7c3
user11	991	216	1272379479537	0	0	fb9db7a68980200d9a1f7450e7c3
user11	985	231	1272379479548	0	0	fb9db7a68980200d9a1f7450e7c3
user11	982	237	1272379479560	0	0	fb9db7a68980200d9a1f7450e7c3
user11	976	246	1272379479564	0	0	fb9db7a68980200d9a1f7450e7c3
user11	973	252	1272379479575	0	0	fb9db7a68980200d9a1f7450e7c3
user11	973	258	1272379479579	0	0	fb9db7a68980200d9a1f7450e7c3
user11	970	264	1272379479591	0	0	fb9db7a68980200d9a1f7450e7c3
user11	967	270	1272379479595	0	0	fb9db7a68980200d9a1f7450e7c3
user11	964	273	1272379479608	0	0	fb9db7a68980200d9a1f7450e7c3
user11	964	279	1272379479611	0	0	fb9db7a68980200d9a1f7450e7c3
user11	961	282	1272379479622	0	0	fb9db7a68980200d9a1f7450e7c3
user11	958	288	1272379479626	0	0	fb9db7a68980200d9a1f7450e7c3
user11	955	294	1272379479638	0	0	fb9db7a68980200d9a1f7450e7c3
user11	952	297	1272379479642	0	0	fb9db7a68980200d9a1f7450e7c3
user11	949	303	1272379479660	0	0	fb9db7a68980200d9a1f7450e7c3
user11	946	306	1272379479666	0	0	fb9db7a68980200d9a1f7450e7c3
user11	946	309	1272379479678	0	0	fb9db7a68980200d9a1f7450e7c3
user11	943	312	1272379479682	0	0	fb9db7a68980200d9a1f7450e7c3
user11	943	315	1272379479696	0	0	fb9db7a68980200d9a1f7450e7c3
user11	940	318	1272379479706	0	0	fb9db7a68980200d9a1f7450e7c3
user11	934	324	1272379479723	0	0	fb9db7a68980200d9a1f7450e7c3
user11	931	327	1272379479730	0	0	fb9db7a68980200d9a1f7450e7c3
user11	931	330	1272379479743	0	0	fb9db7a68980200d9a1f7450e7c3
user11	928	333	1272379479752	0	0	fb9db7a68980200d9a1f7450e7c3
