User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user12	1184	77	1271968296650	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	78	1271968297056	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	81	1271968297072	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	85	1271968297072	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	91	1271968297087	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	99	1271968297087	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	107	1271968297103	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	116	1271968297103	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	126	1271968297119	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	137	1271968297119	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	149	1271968297134	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	164	1271968297134	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	178	1271968297150	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	192	1271968297150	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	208	1271968297166	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	222	1271968297166	0	0	737dd9811267f7efa1436ee15e9d
user12	1184	234	1271968297181	0	0	737dd9811267f7efa1436ee15e9d
user12	1182	246	1271968297181	0	0	737dd9811267f7efa1436ee15e9d
user12	1181	257	1271968297197	0	0	737dd9811267f7efa1436ee15e9d
user12	1179	267	1271968297197	0	0	737dd9811267f7efa1436ee15e9d
user12	1177	275	1271968297212	0	0	737dd9811267f7efa1436ee15e9d
user12	1175	283	1271968297212	0	0	737dd9811267f7efa1436ee15e9d
user12	1173	291	1271968297228	0	0	737dd9811267f7efa1436ee15e9d
user12	1170	301	1271968297228	0	0	737dd9811267f7efa1436ee15e9d
user12	1167	308	1271968297244	0	0	737dd9811267f7efa1436ee15e9d
user12	1165	313	1271968297244	0	0	737dd9811267f7efa1436ee15e9d
user12	1165	320	1271968297259	0	0	737dd9811267f7efa1436ee15e9d
