User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user12	1198	77	1272311195394	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1198	77	1272311195473	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1198	77	1272311195894	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1197	83	1272311196113	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1196	95	1272311196113	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1196	107	1272311196129	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1196	120	1272311196129	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1194	137	1272311196144	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1194	151	1272311196144	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1192	170	1272311196160	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1190	188	1272311196160	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1188	207	1272311196176	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1187	227	1272311196176	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1186	245	1272311196191	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1184	257	1272311196191	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1184	269	1272311196207	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1182	278	1272311196207	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1180	286	1272311196223	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1179	295	1272311196223	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1177	303	1272311196238	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1177	311	1272311196238	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1175	319	1272311196254	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1173	329	1272311196254	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1172	337	1272311196269	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1171	345	1272311196269	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1169	352	1272311196285	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1169	359	1272311196285	0	0	ba7f17e55f83000f449eab2c0a0a
user12	1168	363	1272311196301	0	0	ba7f17e55f83000f449eab2c0a0a
