User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user20	955	77	1272469032834	0	0	510669d1177b84d32d27c135b846
user20	954	77	1272469032913	0	0	510669d1177b84d32d27c135b846
user20	953	77	1272469033245	0	0	510669d1177b84d32d27c135b846
user20	952	77	1272469033283	0	0	510669d1177b84d32d27c135b846
user20	951	77	1272469033283	0	0	510669d1177b84d32d27c135b846
user20	949	78	1272469033283	0	0	510669d1177b84d32d27c135b846
user20	945	80	1272469033289	0	0	510669d1177b84d32d27c135b846
user20	940	82	1272469033299	0	0	510669d1177b84d32d27c135b846
user20	934	86	1272469033309	0	0	510669d1177b84d32d27c135b846
user20	926	89	1272469033319	0	0	510669d1177b84d32d27c135b846
user20	919	92	1272469033329	0	0	510669d1177b84d32d27c135b846
user20	912	95	1272469033344	0	0	510669d1177b84d32d27c135b846
user20	906	99	1272469033349	0	0	510669d1177b84d32d27c135b846
user20	900	104	1272469033359	0	0	510669d1177b84d32d27c135b846
user20	894	108	1272469033380	0	0	510669d1177b84d32d27c135b846
user20	889	113	1272469033380	0	0	510669d1177b84d32d27c135b846
user20	882	120	1272469033390	0	0	510669d1177b84d32d27c135b846
user20	875	129	1272469033396	0	0	510669d1177b84d32d27c135b846
user20	870	139	1272469033412	0	0	510669d1177b84d32d27c135b846
user20	864	149	1272469033427	0	0	510669d1177b84d32d27c135b846
user20	860	158	1272469033437	0	0	510669d1177b84d32d27c135b846
user20	857	168	1272469033443	0	0	510669d1177b84d32d27c135b846
user20	854	175	1272469033451	0	0	510669d1177b84d32d27c135b846
user20	852	181	1272469033459	0	0	510669d1177b84d32d27c135b846
user20	850	185	1272469033474	0	0	510669d1177b84d32d27c135b846
user20	849	190	1272469033490	0	0	510669d1177b84d32d27c135b846
user20	849	193	1272469033490	0	0	510669d1177b84d32d27c135b846
user20	848	195	1272469033500	0	0	510669d1177b84d32d27c135b846
user20	848	197	1272469033521	0	0	510669d1177b84d32d27c135b846
user20	847	198	1272469033528	0	0	510669d1177b84d32d27c135b846
user20	846	199	1272469033537	0	0	510669d1177b84d32d27c135b846
user20	846	200	1272469033547	0	0	510669d1177b84d32d27c135b846
user20	845	200	1272469033552	0	0	510669d1177b84d32d27c135b846
user20	845	201	1272469033568	0	0	510669d1177b84d32d27c135b846
user20	844	201	1272469033568	0	0	510669d1177b84d32d27c135b846
user20	843	202	1272469033584	0	0	510669d1177b84d32d27c135b846
user20	842	202	1272469033599	0	0	510669d1177b84d32d27c135b846
user20	841	202	1272469033609	0	0	510669d1177b84d32d27c135b846
user20	840	201	1272469033677	0	0	510669d1177b84d32d27c135b846
user20	840	200	1272469033677	0	0	510669d1177b84d32d27c135b846
user20	839	199	1272469033699	0	0	510669d1177b84d32d27c135b846
user20	838	198	1272469033717	0	0	510669d1177b84d32d27c135b846
user20	837	198	1272469033737	0	0	510669d1177b84d32d27c135b846
user20	837	197	1272469033756	0	0	510669d1177b84d32d27c135b846
user20	836	196	1272469033764	0	0	510669d1177b84d32d27c135b846
user20	836	195	1272469033771	0	0	510669d1177b84d32d27c135b846
user20	836	194	1272469033781	0	0	510669d1177b84d32d27c135b846
user20	835	193	1272469033787	0	0	510669d1177b84d32d27c135b846
user20	835	190	1272469033797	0	0	510669d1177b84d32d27c135b846
user20	834	188	1272469033818	0	0	510669d1177b84d32d27c135b846
user20	834	186	1272469033818	0	0	510669d1177b84d32d27c135b846
user20	834	184	1272469033832	0	0	510669d1177b84d32d27c135b846
user20	833	182	1272469033834	0	0	510669d1177b84d32d27c135b846
user20	833	180	1272469033844	0	0	510669d1177b84d32d27c135b846
user20	833	178	1272469033854	0	0	510669d1177b84d32d27c135b846
user20	832	177	1272469033864	0	0	510669d1177b84d32d27c135b846
user20	832	176	1272469033880	0	0	510669d1177b84d32d27c135b846
user20	832	175	1272469033896	0	0	510669d1177b84d32d27c135b846
user20	832	174	1272469033896	0	0	510669d1177b84d32d27c135b846
user20	831	173	1272469033912	0	0	510669d1177b84d32d27c135b846
user20	831	172	1272469033943	0	0	510669d1177b84d32d27c135b846
user20	831	171	1272469033962	0	0	510669d1177b84d32d27c135b846
user20	831	170	1272469033974	0	0	510669d1177b84d32d27c135b846
user20	831	169	1272469034003	0	0	510669d1177b84d32d27c135b846
user20	832	168	1272469034042	0	0	510669d1177b84d32d27c135b846
user20	833	167	1272469034085	0	0	510669d1177b84d32d27c135b846
user20	833	166	1272469034116	0	0	510669d1177b84d32d27c135b846
user20	834	166	1272469034146	0	0	510669d1177b84d32d27c135b846
user20	834	165	1272469034156	0	0	510669d1177b84d32d27c135b846
user20	835	164	1272469034176	0	0	510669d1177b84d32d27c135b846
user20	836	164	1272469034186	0	0	510669d1177b84d32d27c135b846
user20	837	163	1272469034193	0	0	510669d1177b84d32d27c135b846
user20	838	162	1272469034209	0	0	510669d1177b84d32d27c135b846
user20	839	162	1272469034224	0	0	510669d1177b84d32d27c135b846
user20	839	161	1272469034234	0	0	510669d1177b84d32d27c135b846
user20	840	161	1272469034254	0	0	510669d1177b84d32d27c135b846
user20	837	163	1272469034318	0	0	510669d1177b84d32d27c135b846
user20	831	170	1272469034334	0	0	510669d1177b84d32d27c135b846
user20	817	184	1272469034344	0	0	510669d1177b84d32d27c135b846
