User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user23	925	151	1271993109739	0	0	8b26144dba52a00b26caf6b78058
user23	925	152	1271993109745	0	0	8b26144dba52a00b26caf6b78058
user23	925	153	1271993109753	0	0	8b26144dba52a00b26caf6b78058
user23	925	154	1271993109770	0	0	8b26144dba52a00b26caf6b78058
user23	925	155	1271993109777	0	0	8b26144dba52a00b26caf6b78058
user23	925	156	1271993109785	0	0	8b26144dba52a00b26caf6b78058
user23	926	156	1271993109793	0	0	8b26144dba52a00b26caf6b78058
user23	926	158	1271993109801	0	0	8b26144dba52a00b26caf6b78058
user23	927	158	1271993109809	0	0	8b26144dba52a00b26caf6b78058
user23	927	159	1271993109817	0	0	8b26144dba52a00b26caf6b78058
user23	928	161	1271993109834	0	0	8b26144dba52a00b26caf6b78058
user23	929	161	1271993109841	0	0	8b26144dba52a00b26caf6b78058
user23	929	162	1271993109849	0	0	8b26144dba52a00b26caf6b78058
user23	930	164	1271993109858	0	0	8b26144dba52a00b26caf6b78058
user23	931	165	1271993109913	0	0	8b26144dba52a00b26caf6b78058
user23	931	167	1271993110137	0	0	8b26144dba52a00b26caf6b78058
user23	930	167	1271993110145	0	0	8b26144dba52a00b26caf6b78058
user23	929	168	1271993110153	0	0	8b26144dba52a00b26caf6b78058
user23	928	170	1271993110169	0	0	8b26144dba52a00b26caf6b78058
user23	927	170	1271993110185	0	0	8b26144dba52a00b26caf6b78058
user23	925	173	1271993110201	0	0	8b26144dba52a00b26caf6b78058
user23	925	173	1271993110650	1271993110546	1271993110650	8b26144dba52a00b26caf6b78058
user23	925	175	1271993110721	0	0	8b26144dba52a00b26caf6b78058
user23	923	181	1271993110729	0	0	8b26144dba52a00b26caf6b78058
user23	917	191	1271993110738	0	0	8b26144dba52a00b26caf6b78058
user23	908	205	1271993110745	0	0	8b26144dba52a00b26caf6b78058
user23	893	229	1271993110754	0	0	8b26144dba52a00b26caf6b78058
user23	866	274	1271993110762	0	0	8b26144dba52a00b26caf6b78058
user23	837	325	1271993110769	0	0	8b26144dba52a00b26caf6b78058
user23	808	381	1271993110777	0	0	8b26144dba52a00b26caf6b78058
user23	781	441	1271993110785	0	0	8b26144dba52a00b26caf6b78058
user23	749	505	1271993110793	0	0	8b26144dba52a00b26caf6b78058
user23	729	537	1271993110802	0	0	8b26144dba52a00b26caf6b78058
user23	158	423	1271993111843	0	0	8b26144dba52a00b26caf6b78058
user23	147	375	1271993111849	0	0	8b26144dba52a00b26caf6b78058
user23	139	324	1271993111857	0	0	8b26144dba52a00b26caf6b78058
user23	142	285	1271993111865	0	0	8b26144dba52a00b26caf6b78058
user23	153	245	1271993111873	0	0	8b26144dba52a00b26caf6b78058
