User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	326	352	1271096679282	0	0	3436d864ce02b018be897a3d5926
user10	331	352	1271096679292	0	0	3436d864ce02b018be897a3d5926
user10	336	352	1271096679296	0	0	3436d864ce02b018be897a3d5926
user10	355	352	1271096679313	0	0	3436d864ce02b018be897a3d5926
user10	367	352	1271096679317	0	0	3436d864ce02b018be897a3d5926
user10	394	350	1271096679336	0	0	3436d864ce02b018be897a3d5926
user10	430	350	1271096679351	0	0	3436d864ce02b018be897a3d5926
user10	462	349	1271096679365	0	0	3436d864ce02b018be897a3d5926
user10	476	349	1271096679378	0	0	3436d864ce02b018be897a3d5926
user10	491	349	1271096679381	0	0	3436d864ce02b018be897a3d5926
user10	503	349	1271096679393	0	0	3436d864ce02b018be897a3d5926
user10	520	348	1271096679405	0	0	3436d864ce02b018be897a3d5926
user10	528	348	1271096679418	0	0	3436d864ce02b018be897a3d5926
user10	534	348	1271096679420	0	0	3436d864ce02b018be897a3d5926
user10	540	348	1271096679433	0	0	3436d864ce02b018be897a3d5926
user10	550	348	1271096679446	0	0	3436d864ce02b018be897a3d5926
user10	553	348	1271096679458	0	0	3436d864ce02b018be897a3d5926
user10	555	348	1271096679471	0	0	3436d864ce02b018be897a3d5926
user10	556	348	1271096679483	0	0	3436d864ce02b018be897a3d5926
user10	556	348	1271096679766	0	0	3436d864ce02b018be897a3d5926
user10	556	349	1271096679788	0	0	3436d864ce02b018be897a3d5926
user10	555	349	1271096679813	0	0	3436d864ce02b018be897a3d5926
user10	555	350	1271096679825	0	0	3436d864ce02b018be897a3d5926
user10	555	351	1271096679868	0	0	3436d864ce02b018be897a3d5926
user10	554	351	1271096680044	0	0	3436d864ce02b018be897a3d5926
user10	553	351	1271096680068	0	0	3436d864ce02b018be897a3d5926
user10	552	351	1271096680084	0	0	3436d864ce02b018be897a3d5926
user10	551	351	1271096680100	0	0	3436d864ce02b018be897a3d5926
user10	550	351	1271096680110	0	0	3436d864ce02b018be897a3d5926
user10	548	351	1271096680121	0	0	3436d864ce02b018be897a3d5926
user10	545	351	1271096680133	0	0	3436d864ce02b018be897a3d5926
user10	544	350	1271096680144	0	0	3436d864ce02b018be897a3d5926
user10	540	349	1271096680156	0	0	3436d864ce02b018be897a3d5926
user10	539	349	1271096680168	0	0	3436d864ce02b018be897a3d5926
user10	537	348	1271096680179	0	0	3436d864ce02b018be897a3d5926
user10	535	348	1271096680191	0	0	3436d864ce02b018be897a3d5926
user10	533	347	1271096680202	0	0	3436d864ce02b018be897a3d5926
user10	532	347	1271096680205	0	0	3436d864ce02b018be897a3d5926
user10	531	346	1271096680216	0	0	3436d864ce02b018be897a3d5926
user10	529	346	1271096680226	0	0	3436d864ce02b018be897a3d5926
user10	527	346	1271096680228	0	0	3436d864ce02b018be897a3d5926
user10	525	345	1271096680241	0	0	3436d864ce02b018be897a3d5926
user10	521	343	1271096680253	0	0	3436d864ce02b018be897a3d5926
user10	518	342	1271096680263	0	0	3436d864ce02b018be897a3d5926
user10	517	341	1271096680275	0	0	3436d864ce02b018be897a3d5926
user10	515	340	1271096680277	0	0	3436d864ce02b018be897a3d5926
user10	513	340	1271096680288	0	0	3436d864ce02b018be897a3d5926
user10	509	338	1271096680301	0	0	3436d864ce02b018be897a3d5926
user10	508	337	1271096680312	0	0	3436d864ce02b018be897a3d5926
user10	505	336	1271096680323	0	0	3436d864ce02b018be897a3d5926
user10	504	336	1271096680325	0	0	3436d864ce02b018be897a3d5926
user10	503	336	1271096680337	0	0	3436d864ce02b018be897a3d5926
user10	501	335	1271096680348	0	0	3436d864ce02b018be897a3d5926
user10	501	334	1271096680351	0	0	3436d864ce02b018be897a3d5926
user10	500	334	1271096680361	0	0	3436d864ce02b018be897a3d5926
user10	498	333	1271096680373	0	0	3436d864ce02b018be897a3d5926
user10	496	332	1271096680384	0	0	3436d864ce02b018be897a3d5926
user10	495	332	1271096680395	0	0	3436d864ce02b018be897a3d5926
user10	493	332	1271096680397	0	0	3436d864ce02b018be897a3d5926
user10	492	330	1271096680409	0	0	3436d864ce02b018be897a3d5926
user10	488	330	1271096680421	0	0	3436d864ce02b018be897a3d5926
user10	487	329	1271096680432	0	0	3436d864ce02b018be897a3d5926
user10	486	328	1271096680443	0	0	3436d864ce02b018be897a3d5926
user10	484	328	1271096680445	0	0	3436d864ce02b018be897a3d5926
user10	483	326	1271096680457	0	0	3436d864ce02b018be897a3d5926
user10	479	323	1271096680471	0	0	3436d864ce02b018be897a3d5926
user10	478	323	1271096680482	0	0	3436d864ce02b018be897a3d5926
user10	476	321	1271096680486	0	0	3436d864ce02b018be897a3d5926
user10	475	321	1271096680497	0	0	3436d864ce02b018be897a3d5926
user10	470	318	1271096680510	0	0	3436d864ce02b018be897a3d5926
user10	469	318	1271096680522	0	0	3436d864ce02b018be897a3d5926
user10	468	317	1271096680525	0	0	3436d864ce02b018be897a3d5926
user10	467	316	1271096680536	0	0	3436d864ce02b018be897a3d5926
user10	466	315	1271096680547	0	0	3436d864ce02b018be897a3d5926
user10	464	314	1271096680550	0	0	3436d864ce02b018be897a3d5926
user10	463	313	1271096680560	0	0	3436d864ce02b018be897a3d5926
user10	462	312	1271096680572	0	0	3436d864ce02b018be897a3d5926
user10	461	311	1271096680584	0	0	3436d864ce02b018be897a3d5926
user10	460	311	1271096680595	0	0	3436d864ce02b018be897a3d5926
user10	459	310	1271096680598	0	0	3436d864ce02b018be897a3d5926
user10	457	309	1271096680610	0	0	3436d864ce02b018be897a3d5926
user10	456	307	1271096680612	0	0	3436d864ce02b018be897a3d5926
user10	455	306	1271096680624	0	0	3436d864ce02b018be897a3d5926
user10	453	305	1271096680636	0	0	3436d864ce02b018be897a3d5926
user10	452	304	1271096680638	0	0	3436d864ce02b018be897a3d5926
user10	450	303	1271096680648	0	0	3436d864ce02b018be897a3d5926
user10	448	302	1271096680660	0	0	3436d864ce02b018be897a3d5926
user10	447	301	1271096680672	0	0	3436d864ce02b018be897a3d5926
user10	446	301	1271096680682	0	0	3436d864ce02b018be897a3d5926
user10	445	300	1271096680694	0	0	3436d864ce02b018be897a3d5926
user10	444	299	1271096680706	0	0	3436d864ce02b018be897a3d5926
user10	443	298	1271096680709	0	0	3436d864ce02b018be897a3d5926
user10	442	298	1271096680720	0	0	3436d864ce02b018be897a3d5926
user10	442	297	1271096680731	0	0	3436d864ce02b018be897a3d5926
user10	441	296	1271096680733	0	0	3436d864ce02b018be897a3d5926
user10	440	295	1271096680748	0	0	3436d864ce02b018be897a3d5926
