User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	399	8	1270329273843	0	0	58633c42a3b9e08b6b5761f36cf0
user10	414	15	1270329273846	0	0	58633c42a3b9e08b6b5761f36cf0
user10	455	34	1270329273869	0	0	58633c42a3b9e08b6b5761f36cf0
user10	497	57	1270329273881	0	0	58633c42a3b9e08b6b5761f36cf0
user10	516	68	1270329273890	0	0	58633c42a3b9e08b6b5761f36cf0
user10	537	80	1270329273897	0	0	58633c42a3b9e08b6b5761f36cf0
user10	553	90	1270329273902	0	0	58633c42a3b9e08b6b5761f36cf0
user10	569	101	1270329273912	0	0	58633c42a3b9e08b6b5761f36cf0
user10	583	109	1270329273918	0	0	58633c42a3b9e08b6b5761f36cf0
user10	593	118	1270329273926	0	0	58633c42a3b9e08b6b5761f36cf0
user10	603	126	1270329273934	0	0	58633c42a3b9e08b6b5761f36cf0
user10	611	134	1270329273942	0	0	58633c42a3b9e08b6b5761f36cf0
user10	618	141	1270329273950	0	0	58633c42a3b9e08b6b5761f36cf0
user10	624	148	1270329273958	0	0	58633c42a3b9e08b6b5761f36cf0
user10	629	156	1270329273966	0	0	58633c42a3b9e08b6b5761f36cf0
user10	635	161	1270329273974	0	0	58633c42a3b9e08b6b5761f36cf0
user10	641	167	1270329273984	0	0	58633c42a3b9e08b6b5761f36cf0
user10	645	173	1270329273993	0	0	58633c42a3b9e08b6b5761f36cf0
user10	648	178	1270329274002	0	0	58633c42a3b9e08b6b5761f36cf0
user10	650	181	1270329274009	0	0	58633c42a3b9e08b6b5761f36cf0
user10	652	184	1270329274015	0	0	58633c42a3b9e08b6b5761f36cf0
user10	653	187	1270329274025	0	0	58633c42a3b9e08b6b5761f36cf0
user10	654	189	1270329274033	0	0	58633c42a3b9e08b6b5761f36cf0
user10	655	190	1270329274042	0	0	58633c42a3b9e08b6b5761f36cf0
user10	655	192	1270329274046	0	0	58633c42a3b9e08b6b5761f36cf0
user10	655	193	1270329274062	0	0	58633c42a3b9e08b6b5761f36cf0
user10	656	193	1270329274079	0	0	58633c42a3b9e08b6b5761f36cf0
user10	656	194	1270329274087	0	0	58633c42a3b9e08b6b5761f36cf0
user10	657	195	1270329274095	0	0	58633c42a3b9e08b6b5761f36cf0
user10	658	195	1270329274102	0	0	58633c42a3b9e08b6b5761f36cf0
user10	659	195	1270329274126	0	0	58633c42a3b9e08b6b5761f36cf0
user10	660	194	1270329274135	0	0	58633c42a3b9e08b6b5761f36cf0
user10	661	192	1270329274144	0	0	58633c42a3b9e08b6b5761f36cf0
user10	663	191	1270329274151	0	0	58633c42a3b9e08b6b5761f36cf0
user10	664	188	1270329274159	0	0	58633c42a3b9e08b6b5761f36cf0
user10	665	185	1270329274166	0	0	58633c42a3b9e08b6b5761f36cf0
user10	667	182	1270329274175	0	0	58633c42a3b9e08b6b5761f36cf0
user10	669	181	1270329274182	0	0	58633c42a3b9e08b6b5761f36cf0
user10	670	179	1270329274192	0	0	58633c42a3b9e08b6b5761f36cf0
user10	671	177	1270329274199	0	0	58633c42a3b9e08b6b5761f36cf0
user10	672	177	1270329274208	0	0	58633c42a3b9e08b6b5761f36cf0
user10	673	175	1270329274215	0	0	58633c42a3b9e08b6b5761f36cf0
user10	673	174	1270329274230	0	0	58633c42a3b9e08b6b5761f36cf0
user10	674	174	1270329274241	0	0	58633c42a3b9e08b6b5761f36cf0
user10	674	173	1270329274248	0	0	58633c42a3b9e08b6b5761f36cf0
user10	674	172	1270329274257	0	0	58633c42a3b9e08b6b5761f36cf0
