User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	325	252	1270618249214	0	0	6bfca928207000a9aee4d7b15c47
user10	326	251	1270618249230	0	0	6bfca928207000a9aee4d7b15c47
user10	327	251	1270618249230	0	0	6bfca928207000a9aee4d7b15c47
user10	328	251	1270618249230	0	0	6bfca928207000a9aee4d7b15c47
user10	330	251	1270618249245	0	0	6bfca928207000a9aee4d7b15c47
user10	332	251	1270618249261	0	0	6bfca928207000a9aee4d7b15c47
user10	338	250	1270618249261	0	0	6bfca928207000a9aee4d7b15c47
user10	343	250	1270618249276	0	0	6bfca928207000a9aee4d7b15c47
user10	348	250	1270618249276	0	0	6bfca928207000a9aee4d7b15c47
user10	354	249	1270618249292	0	0	6bfca928207000a9aee4d7b15c47
user10	361	248	1270618249292	0	0	6bfca928207000a9aee4d7b15c47
user10	368	247	1270618249308	0	0	6bfca928207000a9aee4d7b15c47
user10	375	246	1270618249308	0	0	6bfca928207000a9aee4d7b15c47
user10	379	245	1270618249323	0	0	6bfca928207000a9aee4d7b15c47
user10	385	244	1270618249323	0	0	6bfca928207000a9aee4d7b15c47
user10	390	242	1270618249339	0	0	6bfca928207000a9aee4d7b15c47
user10	396	241	1270618249339	0	0	6bfca928207000a9aee4d7b15c47
user10	402	240	1270618249354	0	0	6bfca928207000a9aee4d7b15c47
user10	405	240	1270618249354	0	0	6bfca928207000a9aee4d7b15c47
user10	409	237	1270618249370	0	0	6bfca928207000a9aee4d7b15c47
user10	413	235	1270618249370	0	0	6bfca928207000a9aee4d7b15c47
user10	415	234	1270618249386	0	0	6bfca928207000a9aee4d7b15c47
user10	417	231	1270618249386	0	0	6bfca928207000a9aee4d7b15c47
user10	419	230	1270618249401	0	0	6bfca928207000a9aee4d7b15c47
user10	419	229	1270618249401	0	0	6bfca928207000a9aee4d7b15c47
user10	419	229	1270618249557	0	0	6bfca928207000a9aee4d7b15c47
user10	420	229	1270618250088	0	0	6bfca928207000a9aee4d7b15c47
user10	421	229	1270618250103	0	0	6bfca928207000a9aee4d7b15c47
user10	422	229	1270618250150	0	0	6bfca928207000a9aee4d7b15c47
user10	422	228	1270618250166	0	0	6bfca928207000a9aee4d7b15c47
user10	422	227	1270618250197	0	0	6bfca928207000a9aee4d7b15c47
user10	423	227	1270618250212	0	0	6bfca928207000a9aee4d7b15c47
user10	424	227	1270618250228	0	0	6bfca928207000a9aee4d7b15c47
user10	424	226	1270618250244	0	0	6bfca928207000a9aee4d7b15c47
user10	425	226	1270618250259	0	0	6bfca928207000a9aee4d7b15c47
user10	426	226	1270618250275	0	0	6bfca928207000a9aee4d7b15c47
user10	427	226	1270618250290	0	0	6bfca928207000a9aee4d7b15c47
user10	428	226	1270618250384	0	0	6bfca928207000a9aee4d7b15c47
user10	428	227	1270618250415	0	0	6bfca928207000a9aee4d7b15c47
user10	429	227	1270618250431	0	0	6bfca928207000a9aee4d7b15c47
user10	430	227	1270618250727	0	0	6bfca928207000a9aee4d7b15c47
user10	430	228	1270618250727	0	0	6bfca928207000a9aee4d7b15c47
user10	431	228	1270618250743	0	0	6bfca928207000a9aee4d7b15c47
user10	432	228	1270618250758	0	0	6bfca928207000a9aee4d7b15c47
user10	433	228	1270618250774	0	0	6bfca928207000a9aee4d7b15c47
user10	435	228	1270618250790	0	0	6bfca928207000a9aee4d7b15c47
user10	437	228	1270618250790	0	0	6bfca928207000a9aee4d7b15c47
user10	439	228	1270618250805	0	0	6bfca928207000a9aee4d7b15c47
user10	443	228	1270618250821	0	0	6bfca928207000a9aee4d7b15c47
user10	448	228	1270618250821	0	0	6bfca928207000a9aee4d7b15c47
user10	456	228	1270618250836	0	0	6bfca928207000a9aee4d7b15c47
user10	464	228	1270618250836	0	0	6bfca928207000a9aee4d7b15c47
user10	478	228	1270618250852	0	0	6bfca928207000a9aee4d7b15c47
user10	491	228	1270618250852	0	0	6bfca928207000a9aee4d7b15c47
user10	507	228	1270618250868	0	0	6bfca928207000a9aee4d7b15c47
user10	534	228	1270618250868	0	0	6bfca928207000a9aee4d7b15c47
user10	565	229	1270618250883	0	0	6bfca928207000a9aee4d7b15c47
user10	595	229	1270618250883	0	0	6bfca928207000a9aee4d7b15c47
user10	482	295	1270618261086	0	0	6bfca928207000a9aee4d7b15c47
user10	482	295	1270618261148	0	0	6bfca928207000a9aee4d7b15c47
user10	482	295	1270618261148	0	0	6bfca928207000a9aee4d7b15c47
user10	481	296	1270618261460	0	0	6bfca928207000a9aee4d7b15c47
user10	481	297	1270618261460	0	0	6bfca928207000a9aee4d7b15c47
user10	480	297	1270618261476	0	0	6bfca928207000a9aee4d7b15c47
user10	480	298	1270618261476	0	0	6bfca928207000a9aee4d7b15c47
user10	479	299	1270618261491	0	0	6bfca928207000a9aee4d7b15c47
user10	478	300	1270618261491	0	0	6bfca928207000a9aee4d7b15c47
user10	477	302	1270618261507	0	0	6bfca928207000a9aee4d7b15c47
user10	475	303	1270618261507	0	0	6bfca928207000a9aee4d7b15c47
user10	474	304	1270618261522	0	0	6bfca928207000a9aee4d7b15c47
user10	473	307	1270618261522	0	0	6bfca928207000a9aee4d7b15c47
user10	469	309	1270618261538	0	0	6bfca928207000a9aee4d7b15c47
user10	467	311	1270618261538	0	0	6bfca928207000a9aee4d7b15c47
user10	605	128	1270618367368	0	0	6bfca928207000a9aee4d7b15c47
user10	604	122	1270618367368	0	0	6bfca928207000a9aee4d7b15c47
user10	603	113	1270618367384	0	0	6bfca928207000a9aee4d7b15c47
user10	603	101	1270618367384	0	0	6bfca928207000a9aee4d7b15c47
user10	601	84	1270618367400	0	0	6bfca928207000a9aee4d7b15c47
user10	600	67	1270618367400	0	0	6bfca928207000a9aee4d7b15c47
user10	597	46	1270618367415	0	0	6bfca928207000a9aee4d7b15c47
user10	596	18	1270618367415	0	0	6bfca928207000a9aee4d7b15c47
user10	488	8	1270618373468	0	0	6bfca928207000a9aee4d7b15c47
user10	458	31	1270618373468	0	0	6bfca928207000a9aee4d7b15c47
user10	427	61	1270618373484	0	0	6bfca928207000a9aee4d7b15c47
user10	395	90	1270618373484	0	0	6bfca928207000a9aee4d7b15c47
user10	367	117	1270618373499	0	0	6bfca928207000a9aee4d7b15c47
user10	334	153	1270618373499	0	0	6bfca928207000a9aee4d7b15c47
user10	306	187	1270618373515	0	0	6bfca928207000a9aee4d7b15c47
user10	280	222	1270618373515	0	0	6bfca928207000a9aee4d7b15c47
user10	252	258	1270618373530	0	0	6bfca928207000a9aee4d7b15c47
user10	226	289	1270618373530	0	0	6bfca928207000a9aee4d7b15c47
user10	203	313	1270618373546	0	0	6bfca928207000a9aee4d7b15c47
user10	185	331	1270618373546	0	0	6bfca928207000a9aee4d7b15c47
user10	172	342	1270618373562	0	0	6bfca928207000a9aee4d7b15c47
user10	164	352	1270618373562	0	0	6bfca928207000a9aee4d7b15c47
user10	157	362	1270618373577	0	0	6bfca928207000a9aee4d7b15c47
user10	151	372	1270618373577	0	0	6bfca928207000a9aee4d7b15c47
user10	149	381	1270618373593	0	0	6bfca928207000a9aee4d7b15c47
user10	148	392	1270618373593	0	0	6bfca928207000a9aee4d7b15c47
user10	148	405	1270618373608	0	0	6bfca928207000a9aee4d7b15c47
user10	148	416	1270618373608	0	0	6bfca928207000a9aee4d7b15c47
