User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	207	377	1272498940386	0	0	6d8d249b7c42307d9db513b9896e
user10	413	313	1272498940495	0	0	6d8d249b7c42307d9db513b9896e
user10	464	294	1272498940542	0	0	6d8d249b7c42307d9db513b9896e
user10	464	294	1272498940542	0	0	6d8d249b7c42307d9db513b9896e
user10	472	292	1272498940542	0	0	6d8d249b7c42307d9db513b9896e
user10	478	290	1272498940558	0	0	6d8d249b7c42307d9db513b9896e
user10	484	287	1272498940558	0	0	6d8d249b7c42307d9db513b9896e
user10	490	284	1272498940573	0	0	6d8d249b7c42307d9db513b9896e
user10	496	281	1272498940573	0	0	6d8d249b7c42307d9db513b9896e
user10	503	279	1272498940589	0	0	6d8d249b7c42307d9db513b9896e
user10	503	279	1272498940948	0	0	6d8d249b7c42307d9db513b9896e
user10	504	280	1272498940963	0	0	6d8d249b7c42307d9db513b9896e
user10	506	282	1272498940963	0	0	6d8d249b7c42307d9db513b9896e
user10	510	284	1272498940979	0	0	6d8d249b7c42307d9db513b9896e
user10	516	289	1272498940979	0	0	6d8d249b7c42307d9db513b9896e
user10	522	293	1272498940995	0	0	6d8d249b7c42307d9db513b9896e
user10	527	294	1272498940995	0	0	6d8d249b7c42307d9db513b9896e
user10	536	296	1272498941010	0	0	6d8d249b7c42307d9db513b9896e
user10	546	297	1272498941010	0	0	6d8d249b7c42307d9db513b9896e
user10	560	298	1272498941026	0	0	6d8d249b7c42307d9db513b9896e
user10	574	298	1272498941026	0	0	6d8d249b7c42307d9db513b9896e
user10	589	298	1272498941041	0	0	6d8d249b7c42307d9db513b9896e
user10	607	298	1272498941041	0	0	6d8d249b7c42307d9db513b9896e
user10	633	294	1272498941057	0	0	6d8d249b7c42307d9db513b9896e
user10	654	289	1272498941057	0	0	6d8d249b7c42307d9db513b9896e
user10	678	284	1272498941073	0	0	6d8d249b7c42307d9db513b9896e
user10	705	276	1272498941073	0	0	6d8d249b7c42307d9db513b9896e
user10	735	270	1272498941088	0	0	6d8d249b7c42307d9db513b9896e
user10	764	263	1272498941088	0	0	6d8d249b7c42307d9db513b9896e
user10	791	257	1272498941104	0	0	6d8d249b7c42307d9db513b9896e
user10	821	249	1272498941104	0	0	6d8d249b7c42307d9db513b9896e
user10	850	242	1272498941119	0	0	6d8d249b7c42307d9db513b9896e
user10	879	236	1272498941119	0	0	6d8d249b7c42307d9db513b9896e
user10	900	227	1272498941135	0	0	6d8d249b7c42307d9db513b9896e
user10	919	221	1272498941151	0	0	6d8d249b7c42307d9db513b9896e
user10	933	217	1272498941151	0	0	6d8d249b7c42307d9db513b9896e
user10	945	211	1272498941166	0	0	6d8d249b7c42307d9db513b9896e
user10	954	207	1272498941166	0	0	6d8d249b7c42307d9db513b9896e
user10	958	203	1272498941182	0	0	6d8d249b7c42307d9db513b9896e
