User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	633	31	1269075433708	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	640	29	1269075433718	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	644	27	1269075433731	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	650	23	1269075433736	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	660	19	1269075433743	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	671	15	1269075433756	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	682	11	1269075433758	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	695	7	1269075434134	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	695	17	1269075434145	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	695	28	1269075434149	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	695	40	1269075434157	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	53	1269075434165	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	65	1269075434173	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	77	1269075434182	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	91	1269075434190	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	102	1269075434197	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	115	1269075434206	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	127	1269075434220	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	138	1269075434223	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	147	1269075434231	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	693	154	1269075434239	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	691	161	1269075434246	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	689	168	1269075434254	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	689	170	1269075434262	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	689	172	1269075434271	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	689	174	1269075434278	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	687	175	1269075434288	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	686	176	1269075434294	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	685	177	1269075434305	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	684	177	1269075434310	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	683	177	1269075434326	0	0	ac9e383fa9dcb0cf6b80861147e0
user10	683	177	1269075434363	0	0	ac9e383fa9dcb0cf6b80861147e0
