User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user10	193	288	1271264854081	0	0	d49d952182ae9e08a12b77b26f15
user10	341	383	1271264854237	0	0	d49d952182ae9e08a12b77b26f15
user10	355	403	1271264854237	0	0	d49d952182ae9e08a12b77b26f15
user10	382	446	1271264854253	0	0	d49d952182ae9e08a12b77b26f15
user10	395	470	1271264854269	0	0	d49d952182ae9e08a12b77b26f15
user10	409	491	1271264854269	0	0	d49d952182ae9e08a12b77b26f15
user10	422	510	1271264854269	0	0	d49d952182ae9e08a12b77b26f15
user10	431	524	1271264854284	0	0	d49d952182ae9e08a12b77b26f15
user10	436	535	1271264854300	0	0	d49d952182ae9e08a12b77b26f15
user10	441	546	1271264854300	0	0	d49d952182ae9e08a12b77b26f15
user10	444	556	1271264854315	0	0	d49d952182ae9e08a12b77b26f15
user10	445	564	1271264854315	0	0	d49d952182ae9e08a12b77b26f15
user10	445	571	1271264854331	0	0	d49d952182ae9e08a12b77b26f15
user10	445	575	1271264854331	0	0	d49d952182ae9e08a12b77b26f15
user10	445	579	1271264854347	0	0	d49d952182ae9e08a12b77b26f15
user10	444	583	1271264854347	0	0	d49d952182ae9e08a12b77b26f15
user10	442	589	1271264854362	0	0	d49d952182ae9e08a12b77b26f15
user10	418	590	1271264854721	0	0	d49d952182ae9e08a12b77b26f15
user10	426	577	1271264854737	0	0	d49d952182ae9e08a12b77b26f15
user10	441	557	1271264854737	0	0	d49d952182ae9e08a12b77b26f15
user10	457	541	1271264854752	0	0	d49d952182ae9e08a12b77b26f15
user10	473	517	1271264854752	0	0	d49d952182ae9e08a12b77b26f15
user10	503	494	1271264854768	0	0	d49d952182ae9e08a12b77b26f15
user10	539	463	1271264854768	0	0	d49d952182ae9e08a12b77b26f15
user10	575	437	1271264854783	0	0	d49d952182ae9e08a12b77b26f15
user10	603	416	1271264854783	0	0	d49d952182ae9e08a12b77b26f15
user10	635	395	1271264854799	0	0	d49d952182ae9e08a12b77b26f15
user10	667	377	1271264854799	0	0	d49d952182ae9e08a12b77b26f15
user10	698	363	1271264854815	0	0	d49d952182ae9e08a12b77b26f15
user10	722	349	1271264854815	0	0	d49d952182ae9e08a12b77b26f15
user10	750	337	1271264854830	0	0	d49d952182ae9e08a12b77b26f15
user10	774	324	1271264854830	0	0	d49d952182ae9e08a12b77b26f15
user10	797	315	1271264854846	0	0	d49d952182ae9e08a12b77b26f15
user10	817	305	1271264854846	0	0	d49d952182ae9e08a12b77b26f15
user10	835	297	1271264854861	0	0	d49d952182ae9e08a12b77b26f15
user10	851	287	1271264854861	0	0	d49d952182ae9e08a12b77b26f15
user10	862	280	1271264854877	0	0	d49d952182ae9e08a12b77b26f15
user10	875	271	1271264854877	0	0	d49d952182ae9e08a12b77b26f15
user10	884	266	1271264854893	0	0	d49d952182ae9e08a12b77b26f15
user10	894	258	1271264854893	0	0	d49d952182ae9e08a12b77b26f15
user10	900	252	1271264854908	0	0	d49d952182ae9e08a12b77b26f15
user10	906	246	1271264854908	0	0	d49d952182ae9e08a12b77b26f15
user10	913	240	1271264854924	0	0	d49d952182ae9e08a12b77b26f15
user10	918	233	1271264854939	0	0	d49d952182ae9e08a12b77b26f15
user10	920	229	1271264854939	0	0	d49d952182ae9e08a12b77b26f15
user10	922	224	1271264854955	0	0	d49d952182ae9e08a12b77b26f15
user10	923	221	1271264854955	0	0	d49d952182ae9e08a12b77b26f15
user10	923	218	1271264854971	0	0	d49d952182ae9e08a12b77b26f15
user10	923	216	1271264854971	0	0	d49d952182ae9e08a12b77b26f15
user10	923	214	1271264854986	0	0	d49d952182ae9e08a12b77b26f15
user10	924	213	1271264854986	0	0	d49d952182ae9e08a12b77b26f15
user10	924	211	1271264855002	0	0	d49d952182ae9e08a12b77b26f15
user10	924	209	1271264855002	0	0	d49d952182ae9e08a12b77b26f15
user10	925	206	1271264855017	0	0	d49d952182ae9e08a12b77b26f15
user10	925	203	1271264855017	0	0	d49d952182ae9e08a12b77b26f15
user10	925	200	1271264855033	0	0	d49d952182ae9e08a12b77b26f15
user10	925	197	1271264855033	0	0	d49d952182ae9e08a12b77b26f15
user10	925	194	1271264855049	0	0	d49d952182ae9e08a12b77b26f15
user10	925	193	1271264855049	0	0	d49d952182ae9e08a12b77b26f15
user10	925	192	1271264855064	0	0	d49d952182ae9e08a12b77b26f15
user10	925	191	1271264855095	0	0	d49d952182ae9e08a12b77b26f15
user10	925	190	1271264855095	0	0	d49d952182ae9e08a12b77b26f15
user10	925	187	1271264855111	0	0	d49d952182ae9e08a12b77b26f15
user10	926	184	1271264855111	0	0	d49d952182ae9e08a12b77b26f15
user10	926	180	1271264855127	0	0	d49d952182ae9e08a12b77b26f15
user10	926	177	1271264855127	0	0	d49d952182ae9e08a12b77b26f15
user10	926	174	1271264855142	0	0	d49d952182ae9e08a12b77b26f15
user10	926	172	1271264855142	0	0	d49d952182ae9e08a12b77b26f15
user10	926	171	1271264855158	0	0	d49d952182ae9e08a12b77b26f15
user10	926	170	1271264855158	0	0	d49d952182ae9e08a12b77b26f15
user10	926	170	1271264855439	1271264855345	1271264855439	d49d952182ae9e08a12b77b26f15
user10	925	170	1271264855501	0	0	d49d952182ae9e08a12b77b26f15
user10	924	169	1271264855501	0	0	d49d952182ae9e08a12b77b26f15
user10	923	169	1271264855532	0	0	d49d952182ae9e08a12b77b26f15
