User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user12	997	81	1272425985293	0	0	27f900a1bcff9071c4e5a7bf468a
user12	996	81	1272425985624	0	0	27f900a1bcff9071c4e5a7bf468a
user12	995	81	1272425985704	0	0	27f900a1bcff9071c4e5a7bf468a
user12	995	82	1272425985714	0	0	27f900a1bcff9071c4e5a7bf468a
user12	995	83	1272425985738	0	0	27f900a1bcff9071c4e5a7bf468a
user12	994	83	1272425985751	0	0	27f900a1bcff9071c4e5a7bf468a
user12	993	83	1272425985763	0	0	27f900a1bcff9071c4e5a7bf468a
user12	992	83	1272425985779	0	0	27f900a1bcff9071c4e5a7bf468a
user12	992	84	1272425985790	0	0	27f900a1bcff9071c4e5a7bf468a
user12	989	84	1272425985794	0	0	27f900a1bcff9071c4e5a7bf468a
user12	986	84	1272425985805	0	0	27f900a1bcff9071c4e5a7bf468a
user12	985	85	1272425985809	0	0	27f900a1bcff9071c4e5a7bf468a
user12	981	86	1272425985818	0	0	27f900a1bcff9071c4e5a7bf468a
user12	970	87	1272425985839	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	91	1272425985844	0	0	27f900a1bcff9071c4e5a7bf468a
user12	961	91	1272425985848	0	0	27f900a1bcff9071c4e5a7bf468a
user12	955	95	1272425985860	0	0	27f900a1bcff9071c4e5a7bf468a
user12	952	96	1272425985870	0	0	27f900a1bcff9071c4e5a7bf468a
user12	948	100	1272425985874	0	0	27f900a1bcff9071c4e5a7bf468a
user12	944	106	1272425985884	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	106	1272425985888	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	111	1272425985899	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	114	1272425985905	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	117	1272425985916	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	122	1272425985926	0	0	27f900a1bcff9071c4e5a7bf468a
user12	943	127	1272425985936	0	0	27f900a1bcff9071c4e5a7bf468a
user12	947	133	1272425985941	0	0	27f900a1bcff9071c4e5a7bf468a
user12	951	139	1272425985945	0	0	27f900a1bcff9071c4e5a7bf468a
user12	951	145	1272425985957	0	0	27f900a1bcff9071c4e5a7bf468a
user12	952	153	1272425985966	0	0	27f900a1bcff9071c4e5a7bf468a
user12	953	156	1272425985971	0	0	27f900a1bcff9071c4e5a7bf468a
user12	954	159	1272425985982	0	0	27f900a1bcff9071c4e5a7bf468a
user12	954	162	1272425985988	0	0	27f900a1bcff9071c4e5a7bf468a
user12	957	163	1272425985993	0	0	27f900a1bcff9071c4e5a7bf468a
user12	958	164	1272425986017	0	0	27f900a1bcff9071c4e5a7bf468a
user12	958	165	1272425986021	0	0	27f900a1bcff9071c4e5a7bf468a
user12	959	165	1272425986034	0	0	27f900a1bcff9071c4e5a7bf468a
user12	959	166	1272425986050	0	0	27f900a1bcff9071c4e5a7bf468a
user12	959	167	1272425986065	0	0	27f900a1bcff9071c4e5a7bf468a
user12	959	168	1272425986097	0	0	27f900a1bcff9071c4e5a7bf468a
user12	960	168	1272425986107	0	0	27f900a1bcff9071c4e5a7bf468a
user12	961	171	1272425986120	0	0	27f900a1bcff9071c4e5a7bf468a
user12	961	174	1272425986131	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	180	1272425986146	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	183	1272425986157	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	186	1272425986163	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	187	1272425986174	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	186	1272425986320	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	186	1272425986330	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	185	1272425986340	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	184	1272425986369	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	183	1272425986388	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	182	1272425986393	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	181	1272425986408	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	180	1272425986473	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	180	1272425986690	1272425986561	1272425986690	27f900a1bcff9071c4e5a7bf468a
user12	962	180	1272425987556	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	182	1272425991296	0	0	27f900a1bcff9071c4e5a7bf468a
user12	962	185	1272425991309	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	188	1272425991315	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	191	1272425991327	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	194	1272425991333	0	0	27f900a1bcff9071c4e5a7bf468a
user12	965	197	1272425991339	0	0	27f900a1bcff9071c4e5a7bf468a
user12	966	201	1272425991345	0	0	27f900a1bcff9071c4e5a7bf468a
user12	967	207	1272425991364	0	0	27f900a1bcff9071c4e5a7bf468a
user12	967	208	1272425991380	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	208	1272425991396	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	211	1272425991403	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	212	1272425991408	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	214	1272425991424	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	217	1272425991430	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	222	1272425991436	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	225	1272425991442	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	228	1272425991453	0	0	27f900a1bcff9071c4e5a7bf468a
user12	969	229	1272425991458	0	0	27f900a1bcff9071c4e5a7bf468a
user12	969	232	1272425991472	0	0	27f900a1bcff9071c4e5a7bf468a
user12	969	233	1272425991489	0	0	27f900a1bcff9071c4e5a7bf468a
user12	969	236	1272425991506	0	0	27f900a1bcff9071c4e5a7bf468a
user12	968	240	1272425991520	0	0	27f900a1bcff9071c4e5a7bf468a
user12	967	241	1272425991530	0	0	27f900a1bcff9071c4e5a7bf468a
user12	967	242	1272425991544	0	0	27f900a1bcff9071c4e5a7bf468a
user12	966	242	1272425991555	0	0	27f900a1bcff9071c4e5a7bf468a
user12	965	243	1272425991563	0	0	27f900a1bcff9071c4e5a7bf468a
user12	965	244	1272425991576	0	0	27f900a1bcff9071c4e5a7bf468a
user12	965	245	1272425991588	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	246	1272425991601	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	248	1272425991613	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	251	1272425991617	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	254	1272425991628	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	260	1272425991634	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	263	1272425991646	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	266	1272425991660	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	267	1272425991666	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	268	1272425991680	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	270	1272425991693	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	271	1272425991699	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	272	1272425991712	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	273	1272425991723	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	274	1272425991793	0	0	27f900a1bcff9071c4e5a7bf468a
user12	964	275	1272425991816	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	275	1272425991832	0	0	27f900a1bcff9071c4e5a7bf468a
user12	963	275	1272425992033	1272425991944	1272425992033	27f900a1bcff9071c4e5a7bf468a
user12	1015	275	1272425996577	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1015	275	1272425997039	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1015	274	1272425998487	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1014	273	1272425998510	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1014	272	1272425998514	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1013	269	1272425998540	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1010	268	1272425998545	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1007	268	1272425998556	0	0	27f900a1bcff9071c4e5a7bf468a
user12	1004	268	1272425998560	0	0	27f900a1bcff9071c4e5a7bf468a
user12	993	267	1272425998580	0	0	27f900a1bcff9071c4e5a7bf468a
user12	959	266	1272425998608	0	0	27f900a1bcff9071c4e5a7bf468a
user12	926	266	1272425998617	0	0	27f900a1bcff9071c4e5a7bf468a
user12	882	266	1272425998638	0	0	27f900a1bcff9071c4e5a7bf468a
user12	855	266	1272425998642	0	0	27f900a1bcff9071c4e5a7bf468a
user12	767	264	1272425998667	0	0	27f900a1bcff9071c4e5a7bf468a
user12	701	264	1272425998689	0	0	27f900a1bcff9071c4e5a7bf468a
user12	677	263	1272425998710	0	0	27f900a1bcff9071c4e5a7bf468a
user12	669	263	1272425998716	0	0	27f900a1bcff9071c4e5a7bf468a
user12	664	262	1272425998722	0	0	27f900a1bcff9071c4e5a7bf468a
user12	660	259	1272425998744	0	0	27f900a1bcff9071c4e5a7bf468a
user12	659	258	1272425998748	0	0	27f900a1bcff9071c4e5a7bf468a
user12	658	257	1272425998769	0	0	27f900a1bcff9071c4e5a7bf468a
user12	657	257	1272425998791	0	0	27f900a1bcff9071c4e5a7bf468a
user12	657	256	1272425998796	0	0	27f900a1bcff9071c4e5a7bf468a
user12	656	255	1272425998800	0	0	27f900a1bcff9071c4e5a7bf468a
user12	656	254	1272425998824	0	0	27f900a1bcff9071c4e5a7bf468a
user12	655	254	1272425998847	0	0	27f900a1bcff9071c4e5a7bf468a
user12	655	253	1272425998851	0	0	27f900a1bcff9071c4e5a7bf468a
user12	654	250	1272425998911	0	0	27f900a1bcff9071c4e5a7bf468a
user12	654	249	1272425998930	0	0	27f900a1bcff9071c4e5a7bf468a
user12	653	245	1272425998952	0	0	27f900a1bcff9071c4e5a7bf468a
user12	652	242	1272425998974	0	0	27f900a1bcff9071c4e5a7bf468a
user12	652	241	1272425998978	0	0	27f900a1bcff9071c4e5a7bf468a
user12	651	240	1272425999007	0	0	27f900a1bcff9071c4e5a7bf468a
user12	651	239	1272425999012	0	0	27f900a1bcff9071c4e5a7bf468a
user12	651	236	1272425999017	0	0	27f900a1bcff9071c4e5a7bf468a
user12	646	232	1272425999041	0	0	27f900a1bcff9071c4e5a7bf468a
user12	643	228	1272425999070	0	0	27f900a1bcff9071c4e5a7bf468a
user12	642	228	1272425999076	0	0	27f900a1bcff9071c4e5a7bf468a
user12	636	226	1272425999102	0	0	27f900a1bcff9071c4e5a7bf468a
user12	633	225	1272425999125	0	0	27f900a1bcff9071c4e5a7bf468a
user12	626	223	1272425999148	0	0	27f900a1bcff9071c4e5a7bf468a
user12	620	222	1272425999171	0	0	27f900a1bcff9071c4e5a7bf468a
user12	619	221	1272425999195	0	0	27f900a1bcff9071c4e5a7bf468a
user12	613	220	1272425999200	0	0	27f900a1bcff9071c4e5a7bf468a
user12	607	217	1272425999223	0	0	27f900a1bcff9071c4e5a7bf468a
user12	604	216	1272425999229	0	0	27f900a1bcff9071c4e5a7bf468a
user12	603	215	1272425999236	0	0	27f900a1bcff9071c4e5a7bf468a
user12	597	215	1272425999261	0	0	27f900a1bcff9071c4e5a7bf468a
user12	597	214	1272425999266	0	0	27f900a1bcff9071c4e5a7bf468a
user12	596	214	1272425999311	0	0	27f900a1bcff9071c4e5a7bf468a
user12	595	213	1272425999331	0	0	27f900a1bcff9071c4e5a7bf468a
user12	593	212	1272425999353	0	0	27f900a1bcff9071c4e5a7bf468a
user12	593	211	1272425999360	0	0	27f900a1bcff9071c4e5a7bf468a
user12	592	211	1272425999381	0	0	27f900a1bcff9071c4e5a7bf468a
user12	592	210	1272425999389	0	0	27f900a1bcff9071c4e5a7bf468a
user12	591	209	1272425999422	0	0	27f900a1bcff9071c4e5a7bf468a
user12	590	208	1272425999427	0	0	27f900a1bcff9071c4e5a7bf468a
user12	590	207	1272425999433	0	0	27f900a1bcff9071c4e5a7bf468a
user12	589	207	1272425999456	0	0	27f900a1bcff9071c4e5a7bf468a
user12	588	207	1272425999478	0	0	27f900a1bcff9071c4e5a7bf468a
user12	588	206	1272425999503	0	0	27f900a1bcff9071c4e5a7bf468a
user12	588	205	1272425999555	0	0	27f900a1bcff9071c4e5a7bf468a
