User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user18	430	282	1271800801752	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	430	282	1271800801845	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	426	282	1271800802033	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	415	282	1271800802048	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	402	282	1271800802048	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	383	279	1271800802064	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	360	276	1271800802064	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	331	271	1271800802080	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	308	267	1271800802080	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	279	262	1271800802095	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	252	256	1271800802095	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	231	252	1271800802111	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	213	249	1271800802111	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	201	247	1271800802127	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	193	246	1271800802142	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	188	245	1271800802142	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	186	244	1271800802158	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	185	244	1271800802158	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	190	242	1271800824877	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	199	239	1271800824893	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	212	233	1271800824893	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	231	229	1271800824908	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	260	223	1271800824908	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	292	216	1271800824924	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	327	207	1271800824924	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	372	200	1271800824940	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	418	190	1271800824940	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	466	181	1271800824955	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	513	173	1271800824955	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	566	163	1271800824971	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	609	154	1271800824971	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	649	145	1271800824987	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	685	132	1271800824987	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	717	124	1271800825002	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	750	115	1271800825002	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	778	104	1271800825018	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	797	98	1271800825018	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	816	94	1271800825033	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	830	90	1271800825033	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	842	88	1271800825049	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	851	86	1271800825049	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	857	85	1271800825065	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	862	85	1271800825065	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	866	83	1271800825080	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	869	83	1271800825080	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	872	82	1271800825096	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	874	82	1271800825096	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	876	81	1271800825112	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	878	80	1271800825112	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	880	80	1271800825127	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	881	80	1271800825143	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	883	80	1271800825158	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	884	82	1271800825158	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	886	84	1271800825174	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	889	85	1271800825190	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	892	90	1271800825190	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	896	93	1271800825205	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	899	98	1271800825205	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	901	102	1271800825221	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	904	107	1271800825221	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	908	113	1271800825237	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	912	119	1271800825237	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	915	127	1271800825252	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	921	134	1271800825252	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	924	144	1271800825268	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	929	151	1271800825268	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	934	160	1271800825283	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	941	168	1271800825283	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	946	173	1271800825299	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	951	179	1271800825299	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	958	183	1271800825315	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	968	188	1271800825315	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	976	190	1271800825330	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	984	192	1271800825330	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	993	194	1271800825346	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1002	194	1271800825346	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1013	194	1271800825362	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1023	194	1271800825362	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1031	194	1271800825377	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1041	194	1271800825377	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1049	194	1271800825393	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1058	194	1271800825393	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1065	194	1271800825408	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1072	193	1271800825408	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1077	193	1271800825424	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1082	191	1271800825424	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1085	188	1271800825440	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1087	187	1271800825440	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1090	187	1271800825455	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1092	184	1271800825455	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1094	183	1271800825471	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1096	181	1271800825471	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1097	179	1271800825487	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1098	178	1271800825487	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1100	177	1271800825502	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1100	176	1271800825533	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1100	175	1271800825533	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1100	175	1271800826127	1271800826018	1271800826127	d3bdbd115d8e985fae9c614b0dd3
user18	1101	175	1271800828643	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1105	178	1271800828659	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1111	185	1271800828659	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1119	192	1271800828674	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1126	198	1271800828674	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1133	206	1271800828690	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1139	211	1271800828690	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1145	218	1271800828705	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1153	227	1271800828705	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1156	233	1271800828721	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1160	240	1271800828721	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1163	245	1271800828737	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	248	1271800828737	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	250	1271800828752	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	252	1271800828752	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	253	1271800828768	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	254	1271800828768	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	255	1271800828799	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	256	1271800828815	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	258	1271800828815	0	0	d3bdbd115d8e985fae9c614b0dd3
user18	1164	260	1271800828830	0	0	d3bdbd115d8e985fae9c614b0dd3
