User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user21	759	181	1271643342426	0	0	3d981f1131d40e1b91fe2c72caba
user21	543	129	1271643343199	1271643342511	1271643343199	3d981f1131d40e1b91fe2c72caba
user21	743	233	1271643356724	0	0	3d981f1131d40e1b91fe2c72caba
user21	743	233	1271643357106	1271643356792	1271643357106	3d981f1131d40e1b91fe2c72caba
user21	797	286	1271643363645	0	0	3d981f1131d40e1b91fe2c72caba
user21	797	286	1271643363709	1271643363689	1271643363709	3d981f1131d40e1b91fe2c72caba
user21	197	195	1271643372936	0	0	3d981f1131d40e1b91fe2c72caba
user21	107	106	1271643373497	1271643372977	1271643373497	3d981f1131d40e1b91fe2c72caba
user21	358	231	1271643417529	0	0	3d981f1131d40e1b91fe2c72caba
user21	358	231	1271643417585	1271643417567	1271643417585	3d981f1131d40e1b91fe2c72caba
user21	333	65	1271643426469	0	0	3d981f1131d40e1b91fe2c72caba
user21	333	65	1271643426532	1271643426509	1271643426532	3d981f1131d40e1b91fe2c72caba
