User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user21	653	318	1271654457879	0	0	482c4841b1d010bac7802b2db310
user21	653	317	1271654457895	0	0	482c4841b1d010bac7802b2db310
user21	654	314	1271654457911	0	0	482c4841b1d010bac7802b2db310
user21	657	309	1271654457928	0	0	482c4841b1d010bac7802b2db310
user21	662	304	1271654457947	0	0	482c4841b1d010bac7802b2db310
user21	671	291	1271654457962	0	0	482c4841b1d010bac7802b2db310
user21	697	264	1271654457981	0	0	482c4841b1d010bac7802b2db310
user21	729	239	1271654457998	0	0	482c4841b1d010bac7802b2db310
user21	783	208	1271654458010	0	0	482c4841b1d010bac7802b2db310
user21	865	180	1271654458029	0	0	482c4841b1d010bac7802b2db310
user21	914	172	1271654458050	0	0	482c4841b1d010bac7802b2db310
user21	944	173	1271654458062	0	0	482c4841b1d010bac7802b2db310
user21	961	183	1271654458079	0	0	482c4841b1d010bac7802b2db310
user21	970	203	1271654458099	0	0	482c4841b1d010bac7802b2db310
user21	973	229	1271654458118	0	0	482c4841b1d010bac7802b2db310
user21	973	255	1271654458129	0	0	482c4841b1d010bac7802b2db310
user21	970	278	1271654458149	0	0	482c4841b1d010bac7802b2db310
user21	966	297	1271654458166	0	0	482c4841b1d010bac7802b2db310
user21	964	313	1271654458182	0	0	482c4841b1d010bac7802b2db310
user21	964	322	1271654458197	0	0	482c4841b1d010bac7802b2db310
user21	965	336	1271654458216	0	0	482c4841b1d010bac7802b2db310
user21	968	345	1271654458229	0	0	482c4841b1d010bac7802b2db310
user21	974	353	1271654458247	0	0	482c4841b1d010bac7802b2db310
user21	979	357	1271654458266	0	0	482c4841b1d010bac7802b2db310
user21	983	361	1271654458281	0	0	482c4841b1d010bac7802b2db310
user21	989	366	1271654458296	0	0	482c4841b1d010bac7802b2db310
user21	991	370	1271654458317	0	0	482c4841b1d010bac7802b2db310
user21	992	372	1271654458330	0	0	482c4841b1d010bac7802b2db310
user21	994	375	1271654458348	0	0	482c4841b1d010bac7802b2db310
user21	995	377	1271654458366	0	0	482c4841b1d010bac7802b2db310
user21	995	380	1271654458381	0	0	482c4841b1d010bac7802b2db310
user21	995	381	1271654458582	0	0	482c4841b1d010bac7802b2db310
user21	995	382	1271654458599	0	0	482c4841b1d010bac7802b2db310
user21	993	384	1271654458616	0	0	482c4841b1d010bac7802b2db310
user21	990	388	1271654458632	0	0	482c4841b1d010bac7802b2db310
user21	988	392	1271654458651	0	0	482c4841b1d010bac7802b2db310
user21	987	396	1271654458665	0	0	482c4841b1d010bac7802b2db310
user21	984	400	1271654458687	0	0	482c4841b1d010bac7802b2db310
user21	983	404	1271654458700	0	0	482c4841b1d010bac7802b2db310
user21	980	409	1271654458716	0	0	482c4841b1d010bac7802b2db310
user21	977	416	1271654458734	0	0	482c4841b1d010bac7802b2db310
user21	975	420	1271654458752	0	0	482c4841b1d010bac7802b2db310
user21	973	423	1271654458767	0	0	482c4841b1d010bac7802b2db310
user21	972	425	1271654458783	0	0	482c4841b1d010bac7802b2db310
user21	971	427	1271654458802	0	0	482c4841b1d010bac7802b2db310
user21	971	429	1271654458817	0	0	482c4841b1d010bac7802b2db310
user21	970	430	1271654458838	0	0	482c4841b1d010bac7802b2db310
user21	970	431	1271654458852	0	0	482c4841b1d010bac7802b2db310
user21	970	432	1271654458866	0	0	482c4841b1d010bac7802b2db310
user21	970	433	1271654458902	0	0	482c4841b1d010bac7802b2db310
user21	970	434	1271654458918	0	0	482c4841b1d010bac7802b2db310
user21	970	435	1271654458933	0	0	482c4841b1d010bac7802b2db310
user21	970	436	1271654458970	0	0	482c4841b1d010bac7802b2db310
user21	970	437	1271654458989	0	0	482c4841b1d010bac7802b2db310
user21	969	438	1271654458999	0	0	482c4841b1d010bac7802b2db310
user21	969	439	1271654459018	0	0	482c4841b1d010bac7802b2db310
user21	969	441	1271654459037	0	0	482c4841b1d010bac7802b2db310
user21	968	443	1271654459069	0	0	482c4841b1d010bac7802b2db310
user21	968	444	1271654459085	0	0	482c4841b1d010bac7802b2db310
user21	968	445	1271654459104	0	0	482c4841b1d010bac7802b2db310
user21	968	446	1271654459153	0	0	482c4841b1d010bac7802b2db310
user21	968	446	1271654459357	1271654459237	1271654459357	482c4841b1d010bac7802b2db310
user21	966	445	1271654461384	0	0	482c4841b1d010bac7802b2db310
user21	965	445	1271654461399	0	0	482c4841b1d010bac7802b2db310
user21	965	444	1271654461418	0	0	482c4841b1d010bac7802b2db310
user21	963	444	1271654461435	0	0	482c4841b1d010bac7802b2db310
user21	959	443	1271654461452	0	0	482c4841b1d010bac7802b2db310
user21	954	442	1271654461464	0	0	482c4841b1d010bac7802b2db310
user21	941	437	1271654461483	0	0	482c4841b1d010bac7802b2db310
user21	908	423	1271654461500	0	0	482c4841b1d010bac7802b2db310
user21	861	402	1271654461517	0	0	482c4841b1d010bac7802b2db310
user21	799	369	1271654461535	0	0	482c4841b1d010bac7802b2db310
user21	753	343	1271654461550	0	0	482c4841b1d010bac7802b2db310
