User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user21	656	163	1270688835179	0	0	af4b562370e1906d8d70b751c4ec
user21	658	161	1270688835190	0	0	af4b562370e1906d8d70b751c4ec
user21	661	159	1270688835209	0	0	af4b562370e1906d8d70b751c4ec
user21	667	157	1270688835223	0	0	af4b562370e1906d8d70b751c4ec
user21	676	155	1270688835242	0	0	af4b562370e1906d8d70b751c4ec
user21	701	149	1270688835257	0	0	af4b562370e1906d8d70b751c4ec
user21	747	145	1270688835276	0	0	af4b562370e1906d8d70b751c4ec
user21	778	147	1270688835289	0	0	af4b562370e1906d8d70b751c4ec
user21	838	163	1270688835307	0	0	af4b562370e1906d8d70b751c4ec
user21	875	177	1270688835327	0	0	af4b562370e1906d8d70b751c4ec
user21	905	197	1270688835343	0	0	af4b562370e1906d8d70b751c4ec
user21	930	225	1270688835359	0	0	af4b562370e1906d8d70b751c4ec
user21	941	241	1270688835377	0	0	af4b562370e1906d8d70b751c4ec
user21	946	251	1270688835393	0	0	af4b562370e1906d8d70b751c4ec
user21	947	257	1270688835411	0	0	af4b562370e1906d8d70b751c4ec
user21	946	258	1270688835678	0	0	af4b562370e1906d8d70b751c4ec
user21	946	259	1270688835695	0	0	af4b562370e1906d8d70b751c4ec
user21	946	260	1270688835708	0	0	af4b562370e1906d8d70b751c4ec
user21	946	262	1270688835726	0	0	af4b562370e1906d8d70b751c4ec
user21	946	265	1270688835746	0	0	af4b562370e1906d8d70b751c4ec
user21	947	270	1270688835760	0	0	af4b562370e1906d8d70b751c4ec
user21	948	273	1270688835777	0	0	af4b562370e1906d8d70b751c4ec
user21	949	280	1270688835793	0	0	af4b562370e1906d8d70b751c4ec
user21	949	288	1270688835810	0	0	af4b562370e1906d8d70b751c4ec
user21	950	296	1270688835832	0	0	af4b562370e1906d8d70b751c4ec
user21	950	308	1270688835852	0	0	af4b562370e1906d8d70b751c4ec
user21	950	314	1270688835857	0	0	af4b562370e1906d8d70b751c4ec
user21	950	320	1270688835880	0	0	af4b562370e1906d8d70b751c4ec
user21	950	327	1270688835896	0	0	af4b562370e1906d8d70b751c4ec
user21	950	331	1270688835910	0	0	af4b562370e1906d8d70b751c4ec
user21	948	336	1270688835930	0	0	af4b562370e1906d8d70b751c4ec
user21	947	339	1270688835946	0	0	af4b562370e1906d8d70b751c4ec
user21	947	341	1270688835960	0	0	af4b562370e1906d8d70b751c4ec
user21	946	342	1270688835978	0	0	af4b562370e1906d8d70b751c4ec
user21	945	343	1270688836010	0	0	af4b562370e1906d8d70b751c4ec
user21	945	344	1270688836028	0	0	af4b562370e1906d8d70b751c4ec
user21	944	345	1270688836047	0	0	af4b562370e1906d8d70b751c4ec
user21	943	345	1270688836079	0	0	af4b562370e1906d8d70b751c4ec
user21	943	346	1270688836098	0	0	af4b562370e1906d8d70b751c4ec
user21	942	346	1270688836128	0	0	af4b562370e1906d8d70b751c4ec
user21	942	345	1270688836200	0	0	af4b562370e1906d8d70b751c4ec
user21	942	344	1270688836210	0	0	af4b562370e1906d8d70b751c4ec
user21	942	340	1270688836233	0	0	af4b562370e1906d8d70b751c4ec
user21	942	337	1270688836246	0	0	af4b562370e1906d8d70b751c4ec
user21	942	332	1270688836265	0	0	af4b562370e1906d8d70b751c4ec
user21	942	327	1270688836280	0	0	af4b562370e1906d8d70b751c4ec
user21	942	322	1270688836302	0	0	af4b562370e1906d8d70b751c4ec
user21	942	317	1270688836312	0	0	af4b562370e1906d8d70b751c4ec
user21	944	307	1270688836330	0	0	af4b562370e1906d8d70b751c4ec
user21	946	294	1270688836351	0	0	af4b562370e1906d8d70b751c4ec
user21	948	286	1270688836367	0	0	af4b562370e1906d8d70b751c4ec
user21	950	280	1270688836383	0	0	af4b562370e1906d8d70b751c4ec
user21	951	270	1270688836396	0	0	af4b562370e1906d8d70b751c4ec
user21	953	266	1270688836414	0	0	af4b562370e1906d8d70b751c4ec
user21	955	259	1270688836434	0	0	af4b562370e1906d8d70b751c4ec
user21	957	251	1270688836450	0	0	af4b562370e1906d8d70b751c4ec
user21	960	242	1270688836467	0	0	af4b562370e1906d8d70b751c4ec
user21	962	237	1270688836482	0	0	af4b562370e1906d8d70b751c4ec
user21	964	231	1270688836502	0	0	af4b562370e1906d8d70b751c4ec
user21	965	228	1270688836515	0	0	af4b562370e1906d8d70b751c4ec
user21	967	223	1270688836534	0	0	af4b562370e1906d8d70b751c4ec
user21	967	221	1270688836566	0	0	af4b562370e1906d8d70b751c4ec
user21	967	220	1270688836583	0	0	af4b562370e1906d8d70b751c4ec
user21	967	219	1270688836598	0	0	af4b562370e1906d8d70b751c4ec
user21	967	217	1270688836635	0	0	af4b562370e1906d8d70b751c4ec
user21	967	216	1270688836647	0	0	af4b562370e1906d8d70b751c4ec
user21	967	215	1270688836694	0	0	af4b562370e1906d8d70b751c4ec
user21	966	215	1270688836750	0	0	af4b562370e1906d8d70b751c4ec
user21	965	217	1270688836766	0	0	af4b562370e1906d8d70b751c4ec
user21	961	222	1270688836782	0	0	af4b562370e1906d8d70b751c4ec
user21	957	229	1270688836799	0	0	af4b562370e1906d8d70b751c4ec
user21	952	244	1270688836818	0	0	af4b562370e1906d8d70b751c4ec
user21	947	263	1270688836836	0	0	af4b562370e1906d8d70b751c4ec
user21	943	287	1270688836855	0	0	af4b562370e1906d8d70b751c4ec
user21	943	308	1270688836868	0	0	af4b562370e1906d8d70b751c4ec
user21	943	327	1270688836886	0	0	af4b562370e1906d8d70b751c4ec
user21	944	347	1270688836900	0	0	af4b562370e1906d8d70b751c4ec
user21	947	366	1270688836922	0	0	af4b562370e1906d8d70b751c4ec
user21	949	382	1270688836938	0	0	af4b562370e1906d8d70b751c4ec
user21	950	394	1270688836950	0	0	af4b562370e1906d8d70b751c4ec
user21	951	404	1270688836969	0	0	af4b562370e1906d8d70b751c4ec
user21	952	412	1270688836985	0	0	af4b562370e1906d8d70b751c4ec
user21	952	417	1270688837005	0	0	af4b562370e1906d8d70b751c4ec
user21	952	419	1270688837017	0	0	af4b562370e1906d8d70b751c4ec
user21	954	419	1270688837035	0	0	af4b562370e1906d8d70b751c4ec
user21	954	420	1270688837057	0	0	af4b562370e1906d8d70b751c4ec
user21	955	420	1270688837085	0	0	af4b562370e1906d8d70b751c4ec
user21	955	421	1270688837101	0	0	af4b562370e1906d8d70b751c4ec
user21	957	421	1270688837135	0	0	af4b562370e1906d8d70b751c4ec
user21	957	422	1270688837153	0	0	af4b562370e1906d8d70b751c4ec
user21	958	423	1270688837168	0	0	af4b562370e1906d8d70b751c4ec
user21	959	426	1270688837185	0	0	af4b562370e1906d8d70b751c4ec
user21	960	428	1270688837204	0	0	af4b562370e1906d8d70b751c4ec
user21	961	430	1270688837221	0	0	af4b562370e1906d8d70b751c4ec
user21	961	431	1270688837236	0	0	af4b562370e1906d8d70b751c4ec
user21	963	433	1270688837252	0	0	af4b562370e1906d8d70b751c4ec
user21	963	434	1270688837270	0	0	af4b562370e1906d8d70b751c4ec
user21	963	436	1270688837288	0	0	af4b562370e1906d8d70b751c4ec
user21	963	438	1270688837302	0	0	af4b562370e1906d8d70b751c4ec
user21	964	440	1270688837336	0	0	af4b562370e1906d8d70b751c4ec
user21	964	441	1270688837372	0	0	af4b562370e1906d8d70b751c4ec
user21	964	441	1270688837709	1270688837614	1270688837709	af4b562370e1906d8d70b751c4ec
user21	963	441	1270688845354	0	0	af4b562370e1906d8d70b751c4ec
user21	959	441	1270688845369	0	0	af4b562370e1906d8d70b751c4ec
user21	957	441	1270688845387	0	0	af4b562370e1906d8d70b751c4ec
user21	952	440	1270688845400	0	0	af4b562370e1906d8d70b751c4ec
user21	947	440	1270688845418	0	0	af4b562370e1906d8d70b751c4ec
user21	941	438	1270688845437	0	0	af4b562370e1906d8d70b751c4ec
user21	932	437	1270688845455	0	0	af4b562370e1906d8d70b751c4ec
user21	919	434	1270688845467	0	0	af4b562370e1906d8d70b751c4ec
user21	897	428	1270688845485	0	0	af4b562370e1906d8d70b751c4ec
user21	864	420	1270688845502	0	0	af4b562370e1906d8d70b751c4ec
user21	831	408	1270688845519	0	0	af4b562370e1906d8d70b751c4ec
user21	807	400	1270688845538	0	0	af4b562370e1906d8d70b751c4ec
user21	786	393	1270688845555	0	0	af4b562370e1906d8d70b751c4ec
user21	769	386	1270688845576	0	0	af4b562370e1906d8d70b751c4ec
user21	761	382	1270688845582	0	0	af4b562370e1906d8d70b751c4ec
user21	755	376	1270688845606	0	0	af4b562370e1906d8d70b751c4ec
user21	753	371	1270688845618	0	0	af4b562370e1906d8d70b751c4ec
user21	752	371	1270688848089	0	0	af4b562370e1906d8d70b751c4ec
user21	748	370	1270688848102	0	0	af4b562370e1906d8d70b751c4ec
user21	733	364	1270688848117	0	0	af4b562370e1906d8d70b751c4ec
user21	704	351	1270688848134	0	0	af4b562370e1906d8d70b751c4ec
user21	670	333	1270688848151	0	0	af4b562370e1906d8d70b751c4ec
user21	640	316	1270688848169	0	0	af4b562370e1906d8d70b751c4ec
user21	617	297	1270688848186	0	0	af4b562370e1906d8d70b751c4ec
user21	585	272	1270688848206	0	0	af4b562370e1906d8d70b751c4ec
user21	575	261	1270688848216	0	0	af4b562370e1906d8d70b751c4ec
user21	567	249	1270688848235	0	0	af4b562370e1906d8d70b751c4ec
user21	562	239	1270688848254	0	0	af4b562370e1906d8d70b751c4ec
user21	559	231	1270688848271	0	0	af4b562370e1906d8d70b751c4ec
user21	557	223	1270688848286	0	0	af4b562370e1906d8d70b751c4ec
user21	555	218	1270688848305	0	0	af4b562370e1906d8d70b751c4ec
user21	555	216	1270688848319	0	0	af4b562370e1906d8d70b751c4ec
user21	553	212	1270688848336	0	0	af4b562370e1906d8d70b751c4ec
user21	553	211	1270688848355	0	0	af4b562370e1906d8d70b751c4ec
user21	552	209	1270688848389	0	0	af4b562370e1906d8d70b751c4ec
user21	552	208	1270688848407	0	0	af4b562370e1906d8d70b751c4ec
user21	550	204	1270688848438	0	0	af4b562370e1906d8d70b751c4ec
user21	550	203	1270688848454	0	0	af4b562370e1906d8d70b751c4ec
user21	550	201	1270688848486	0	0	af4b562370e1906d8d70b751c4ec
user21	549	199	1270688848520	0	0	af4b562370e1906d8d70b751c4ec
user21	548	199	1270688848568	0	0	af4b562370e1906d8d70b751c4ec
user21	547	199	1270688848755	0	0	af4b562370e1906d8d70b751c4ec
user21	545	199	1270688848857	0	0	af4b562370e1906d8d70b751c4ec
user21	545	199	1270688850013	1270688849862	1270688850013	af4b562370e1906d8d70b751c4ec
user21	546	199	1270688850415	0	0	af4b562370e1906d8d70b751c4ec
user21	547	199	1270688853367	0	0	af4b562370e1906d8d70b751c4ec
user21	548	199	1270688853383	0	0	af4b562370e1906d8d70b751c4ec
user21	549	199	1270688853400	0	0	af4b562370e1906d8d70b751c4ec
user21	550	199	1270688853416	0	0	af4b562370e1906d8d70b751c4ec
user21	552	199	1270688853434	0	0	af4b562370e1906d8d70b751c4ec
user21	553	199	1270688853450	0	0	af4b562370e1906d8d70b751c4ec
user21	554	199	1270688853469	0	0	af4b562370e1906d8d70b751c4ec
user21	555	199	1270688853483	0	0	af4b562370e1906d8d70b751c4ec
user21	558	199	1270688853501	0	0	af4b562370e1906d8d70b751c4ec
user21	563	199	1270688853517	0	0	af4b562370e1906d8d70b751c4ec
user21	569	199	1270688853534	0	0	af4b562370e1906d8d70b751c4ec
user21	579	200	1270688853551	0	0	af4b562370e1906d8d70b751c4ec
user21	592	202	1270688853568	0	0	af4b562370e1906d8d70b751c4ec
user21	606	205	1270688853584	0	0	af4b562370e1906d8d70b751c4ec
user21	620	210	1270688853601	0	0	af4b562370e1906d8d70b751c4ec
user21	630	214	1270688853618	0	0	af4b562370e1906d8d70b751c4ec
user21	637	218	1270688853635	0	0	af4b562370e1906d8d70b751c4ec
user21	643	221	1270688853655	0	0	af4b562370e1906d8d70b751c4ec
user21	645	223	1270688853668	0	0	af4b562370e1906d8d70b751c4ec
user21	648	225	1270688853684	0	0	af4b562370e1906d8d70b751c4ec
user21	648	226	1270688853702	0	0	af4b562370e1906d8d70b751c4ec
user21	648	227	1270688853718	0	0	af4b562370e1906d8d70b751c4ec
user21	648	228	1270688853735	0	0	af4b562370e1906d8d70b751c4ec
user21	646	230	1270688853752	0	0	af4b562370e1906d8d70b751c4ec
user21	646	231	1270688853769	0	0	af4b562370e1906d8d70b751c4ec
user21	644	232	1270688853785	0	0	af4b562370e1906d8d70b751c4ec
user21	643	233	1270688853803	0	0	af4b562370e1906d8d70b751c4ec
user21	641	234	1270688853822	0	0	af4b562370e1906d8d70b751c4ec
user21	639	235	1270688853856	0	0	af4b562370e1906d8d70b751c4ec
user21	639	237	1270688853870	0	0	af4b562370e1906d8d70b751c4ec
user21	637	237	1270688853903	0	0	af4b562370e1906d8d70b751c4ec
user21	636	237	1270688853920	0	0	af4b562370e1906d8d70b751c4ec
user21	635	237	1270688853953	0	0	af4b562370e1906d8d70b751c4ec
user21	634	237	1270688853971	0	0	af4b562370e1906d8d70b751c4ec
user21	633	237	1270688854004	0	0	af4b562370e1906d8d70b751c4ec
user21	632	237	1270688854021	0	0	af4b562370e1906d8d70b751c4ec
user21	631	237	1270688854039	0	0	af4b562370e1906d8d70b751c4ec
user21	631	236	1270688854055	0	0	af4b562370e1906d8d70b751c4ec
user21	630	236	1270688854070	0	0	af4b562370e1906d8d70b751c4ec
user21	630	235	1270688854121	0	0	af4b562370e1906d8d70b751c4ec
user21	629	234	1270688854189	0	0	af4b562370e1906d8d70b751c4ec
user21	629	233	1270688854220	0	0	af4b562370e1906d8d70b751c4ec
user21	629	232	1270688854285	0	0	af4b562370e1906d8d70b751c4ec
user21	629	232	1270688854573	1270688854493	1270688854573	af4b562370e1906d8d70b751c4ec
user21	628	231	1270688858650	0	0	af4b562370e1906d8d70b751c4ec
user21	627	230	1270688858669	0	0	af4b562370e1906d8d70b751c4ec
user21	627	226	1270688858680	0	0	af4b562370e1906d8d70b751c4ec
user21	623	217	1270688858701	0	0	af4b562370e1906d8d70b751c4ec
user21	618	193	1270688858718	0	0	af4b562370e1906d8d70b751c4ec
