User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user22	690	526	1271365918447	0	0	34452c31b923319bf30ffa4d7fa3
user22	686	519	1271365918455	0	0	34452c31b923319bf30ffa4d7fa3
user22	682	513	1271365918463	0	0	34452c31b923319bf30ffa4d7fa3
user22	678	507	1271365918471	0	0	34452c31b923319bf30ffa4d7fa3
user22	676	500	1271365918479	0	0	34452c31b923319bf30ffa4d7fa3
user22	673	492	1271365918487	0	0	34452c31b923319bf30ffa4d7fa3
user22	669	484	1271365918495	0	0	34452c31b923319bf30ffa4d7fa3
user22	667	474	1271365918503	0	0	34452c31b923319bf30ffa4d7fa3
user22	664	464	1271365918511	0	0	34452c31b923319bf30ffa4d7fa3
user22	661	452	1271365918519	0	0	34452c31b923319bf30ffa4d7fa3
user22	657	439	1271365918527	0	0	34452c31b923319bf30ffa4d7fa3
user22	653	426	1271365918535	0	0	34452c31b923319bf30ffa4d7fa3
user22	649	412	1271365918543	0	0	34452c31b923319bf30ffa4d7fa3
user22	647	399	1271365918551	0	0	34452c31b923319bf30ffa4d7fa3
user22	644	386	1271365918559	0	0	34452c31b923319bf30ffa4d7fa3
user22	642	375	1271365918567	0	0	34452c31b923319bf30ffa4d7fa3
user22	640	364	1271365918575	0	0	34452c31b923319bf30ffa4d7fa3
user22	637	353	1271365918583	0	0	34452c31b923319bf30ffa4d7fa3
user22	635	345	1271365918591	0	0	34452c31b923319bf30ffa4d7fa3
user22	633	336	1271365918599	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	329	1271365918607	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	324	1271365918615	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	320	1271365918623	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	319	1271365918631	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	318	1271365918639	0	0	34452c31b923319bf30ffa4d7fa3
user22	631	317	1271365918647	0	0	34452c31b923319bf30ffa4d7fa3
user22	630	315	1271365918927	0	0	34452c31b923319bf30ffa4d7fa3
user22	629	313	1271365918935	0	0	34452c31b923319bf30ffa4d7fa3
user22	628	311	1271365918943	0	0	34452c31b923319bf30ffa4d7fa3
user22	627	309	1271365918951	0	0	34452c31b923319bf30ffa4d7fa3
user22	626	307	1271365918959	0	0	34452c31b923319bf30ffa4d7fa3
user22	624	304	1271365918967	0	0	34452c31b923319bf30ffa4d7fa3
user22	622	301	1271365918975	0	0	34452c31b923319bf30ffa4d7fa3
user22	621	299	1271365918983	0	0	34452c31b923319bf30ffa4d7fa3
user22	619	296	1271365918991	0	0	34452c31b923319bf30ffa4d7fa3
user22	617	293	1271365918999	0	0	34452c31b923319bf30ffa4d7fa3
user22	616	290	1271365919007	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	287	1271365919015	0	0	34452c31b923319bf30ffa4d7fa3
user22	614	284	1271365919023	0	0	34452c31b923319bf30ffa4d7fa3
user22	613	282	1271365919031	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	280	1271365919039	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	278	1271365919047	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	277	1271365919055	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	275	1271365919063	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	273	1271365919071	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	272	1271365919079	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	271	1271365919087	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	270	1271365919095	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	269	1271365919103	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	268	1271365919119	0	0	34452c31b923319bf30ffa4d7fa3
user22	611	267	1271365919151	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	267	1271365919271	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	265	1271365919319	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	264	1271365919327	0	0	34452c31b923319bf30ffa4d7fa3
user22	612	263	1271365919335	0	0	34452c31b923319bf30ffa4d7fa3
user22	613	261	1271365919343	0	0	34452c31b923319bf30ffa4d7fa3
user22	613	260	1271365919351	0	0	34452c31b923319bf30ffa4d7fa3
user22	613	259	1271365919359	0	0	34452c31b923319bf30ffa4d7fa3
user22	613	257	1271365919367	0	0	34452c31b923319bf30ffa4d7fa3
user22	614	256	1271365919375	0	0	34452c31b923319bf30ffa4d7fa3
user22	614	255	1271365919383	0	0	34452c31b923319bf30ffa4d7fa3
user22	614	253	1271365919391	0	0	34452c31b923319bf30ffa4d7fa3
user22	614	252	1271365919399	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	250	1271365919407	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	249	1271365919415	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	247	1271365919423	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	246	1271365919431	0	0	34452c31b923319bf30ffa4d7fa3
user22	615	245	1271365919439	0	0	34452c31b923319bf30ffa4d7fa3
user22	596	212	1271365919767	0	0	34452c31b923319bf30ffa4d7fa3
user22	595	210	1271365919775	0	0	34452c31b923319bf30ffa4d7fa3
user22	594	209	1271365919783	0	0	34452c31b923319bf30ffa4d7fa3
user22	593	208	1271365919799	0	0	34452c31b923319bf30ffa4d7fa3
user22	592	207	1271365919807	0	0	34452c31b923319bf30ffa4d7fa3
user22	812	254	1271365113107	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	252	1271365113121	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	251	1271365113134	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	250	1271365113142	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	249	1271365113158	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	248	1271365113182	0	0	34452c31b923319bf30ffa4d7fa3
user22	812	248	1271365113206	0	0	34452c31b923319bf30ffa4d7fa3
user22	813	247	1271365113398	0	0	34452c31b923319bf30ffa4d7fa3
user22	819	246	1271365113406	0	0	34452c31b923319bf30ffa4d7fa3
user22	828	244	1271365113414	0	0	34452c31b923319bf30ffa4d7fa3
user22	840	242	1271365113422	0	0	34452c31b923319bf30ffa4d7fa3
user22	851	240	1271365113430	0	0	34452c31b923319bf30ffa4d7fa3
user22	859	239	1271365113438	0	0	34452c31b923319bf30ffa4d7fa3
user22	863	239	1271365113446	0	0	34452c31b923319bf30ffa4d7fa3
user22	866	238	1271365113454	0	0	34452c31b923319bf30ffa4d7fa3
user22	868	238	1271365113462	0	0	34452c31b923319bf30ffa4d7fa3
user22	870	238	1271365113470	0	0	34452c31b923319bf30ffa4d7fa3
user22	873	239	1271365113478	0	0	34452c31b923319bf30ffa4d7fa3
user22	877	240	1271365113486	0	0	34452c31b923319bf30ffa4d7fa3
user22	880	241	1271365113494	0	0	34452c31b923319bf30ffa4d7fa3
user22	886	242	1271365113502	0	0	34452c31b923319bf30ffa4d7fa3
user22	895	246	1271365113510	0	0	34452c31b923319bf30ffa4d7fa3
user22	904	251	1271365113518	0	0	34452c31b923319bf30ffa4d7fa3
user22	916	257	1271365113526	0	0	34452c31b923319bf30ffa4d7fa3
user22	929	265	1271365113535	0	0	34452c31b923319bf30ffa4d7fa3
user22	944	272	1271365113542	0	0	34452c31b923319bf30ffa4d7fa3
user22	960	278	1271365113550	0	0	34452c31b923319bf30ffa4d7fa3
user22	976	283	1271365113558	0	0	34452c31b923319bf30ffa4d7fa3
user22	991	285	1271365113566	0	0	34452c31b923319bf30ffa4d7fa3
user22	1004	287	1271365113574	0	0	34452c31b923319bf30ffa4d7fa3
user22	1016	287	1271365113582	0	0	34452c31b923319bf30ffa4d7fa3
user22	1027	285	1271365113590	0	0	34452c31b923319bf30ffa4d7fa3
user22	1034	281	1271365113598	0	0	34452c31b923319bf30ffa4d7fa3
user22	1039	277	1271365113606	0	0	34452c31b923319bf30ffa4d7fa3
user22	1044	274	1271365113614	0	0	34452c31b923319bf30ffa4d7fa3
user22	1047	269	1271365113622	0	0	34452c31b923319bf30ffa4d7fa3
user22	1049	266	1271365113630	0	0	34452c31b923319bf30ffa4d7fa3
user22	1050	263	1271365113638	0	0	34452c31b923319bf30ffa4d7fa3
user22	1050	260	1271365113646	0	0	34452c31b923319bf30ffa4d7fa3
user22	1050	257	1271365113654	0	0	34452c31b923319bf30ffa4d7fa3
user22	1050	254	1271365113662	0	0	34452c31b923319bf30ffa4d7fa3
user22	1049	252	1271365113670	0	0	34452c31b923319bf30ffa4d7fa3
user22	1048	249	1271365113678	0	0	34452c31b923319bf30ffa4d7fa3
user22	1046	247	1271365113686	0	0	34452c31b923319bf30ffa4d7fa3
user22	1043	244	1271365113694	0	0	34452c31b923319bf30ffa4d7fa3
user22	1039	240	1271365113702	0	0	34452c31b923319bf30ffa4d7fa3
user22	1033	236	1271365113712	0	0	34452c31b923319bf30ffa4d7fa3
user22	1026	231	1271365113718	0	0	34452c31b923319bf30ffa4d7fa3
user22	1016	227	1271365113726	0	0	34452c31b923319bf30ffa4d7fa3
user22	1006	223	1271365113734	0	0	34452c31b923319bf30ffa4d7fa3
user22	997	220	1271365113742	0	0	34452c31b923319bf30ffa4d7fa3
user22	987	218	1271365113750	0	0	34452c31b923319bf30ffa4d7fa3
user22	977	216	1271365113758	0	0	34452c31b923319bf30ffa4d7fa3
user22	968	214	1271365113766	0	0	34452c31b923319bf30ffa4d7fa3
user22	959	214	1271365113774	0	0	34452c31b923319bf30ffa4d7fa3
user22	951	212	1271365113782	0	0	34452c31b923319bf30ffa4d7fa3
user22	943	212	1271365113790	0	0	34452c31b923319bf30ffa4d7fa3
user22	936	210	1271365113798	0	0	34452c31b923319bf30ffa4d7fa3
user22	929	210	1271365113806	0	0	34452c31b923319bf30ffa4d7fa3
user22	923	210	1271365113814	0	0	34452c31b923319bf30ffa4d7fa3
user22	920	210	1271365113822	0	0	34452c31b923319bf30ffa4d7fa3
user22	918	209	1271365113830	0	0	34452c31b923319bf30ffa4d7fa3
user22	917	209	1271365113846	0	0	34452c31b923319bf30ffa4d7fa3
user22	916	208	1271365113878	0	0	34452c31b923319bf30ffa4d7fa3
user22	915	208	1271365113894	0	0	34452c31b923319bf30ffa4d7fa3
user22	915	207	1271365113902	0	0	34452c31b923319bf30ffa4d7fa3
user22	914	206	1271365113910	0	0	34452c31b923319bf30ffa4d7fa3
user22	914	204	1271365113918	0	0	34452c31b923319bf30ffa4d7fa3
user22	913	203	1271365113926	0	0	34452c31b923319bf30ffa4d7fa3
user22	913	202	1271365113934	0	0	34452c31b923319bf30ffa4d7fa3
user22	912	200	1271365113942	0	0	34452c31b923319bf30ffa4d7fa3
user22	912	199	1271365113950	0	0	34452c31b923319bf30ffa4d7fa3
user22	911	197	1271365113958	0	0	34452c31b923319bf30ffa4d7fa3
user22	910	196	1271365113966	0	0	34452c31b923319bf30ffa4d7fa3
user22	910	195	1271365113974	0	0	34452c31b923319bf30ffa4d7fa3
user22	909	194	1271365113982	0	0	34452c31b923319bf30ffa4d7fa3
user22	908	194	1271365113990	0	0	34452c31b923319bf30ffa4d7fa3
user22	908	193	1271365113998	0	0	34452c31b923319bf30ffa4d7fa3
user22	907	191	1271365114006	0	0	34452c31b923319bf30ffa4d7fa3
user22	907	190	1271365114014	0	0	34452c31b923319bf30ffa4d7fa3
user22	906	189	1271365114022	0	0	34452c31b923319bf30ffa4d7fa3
user22	905	188	1271365114030	0	0	34452c31b923319bf30ffa4d7fa3
user22	904	187	1271365114038	0	0	34452c31b923319bf30ffa4d7fa3
user22	904	185	1271365114046	0	0	34452c31b923319bf30ffa4d7fa3
user22	904	184	1271365114054	0	0	34452c31b923319bf30ffa4d7fa3
user22	904	182	1271365114062	0	0	34452c31b923319bf30ffa4d7fa3
user22	905	181	1271365114070	0	0	34452c31b923319bf30ffa4d7fa3
user22	905	179	1271365114078	0	0	34452c31b923319bf30ffa4d7fa3
user22	905	179	1271365114302	1271365114191	1271365114302	34452c31b923319bf30ffa4d7fa3
user22	906	179	1271365119030	0	0	34452c31b923319bf30ffa4d7fa3
user22	909	180	1271365119038	0	0	34452c31b923319bf30ffa4d7fa3
user22	911	181	1271365119046	0	0	34452c31b923319bf30ffa4d7fa3
user22	914	183	1271365119054	0	0	34452c31b923319bf30ffa4d7fa3
user22	915	185	1271365119062	0	0	34452c31b923319bf30ffa4d7fa3
user22	916	186	1271365119070	0	0	34452c31b923319bf30ffa4d7fa3
user22	917	187	1271365119078	0	0	34452c31b923319bf30ffa4d7fa3
user22	917	188	1271365119086	0	0	34452c31b923319bf30ffa4d7fa3
user22	918	190	1271365119094	0	0	34452c31b923319bf30ffa4d7fa3
user22	919	193	1271365119102	0	0	34452c31b923319bf30ffa4d7fa3
user22	920	195	1271365119110	0	0	34452c31b923319bf30ffa4d7fa3
user22	920	198	1271365119118	0	0	34452c31b923319bf30ffa4d7fa3
user22	920	202	1271365119126	0	0	34452c31b923319bf30ffa4d7fa3
user22	921	206	1271365119134	0	0	34452c31b923319bf30ffa4d7fa3
user22	923	212	1271365119142	0	0	34452c31b923319bf30ffa4d7fa3
