User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user22	370	383	1271690036085	0	0	6a22bd6753848068bc9845239928
user22	574	364	1271690036111	0	0	6a22bd6753848068bc9845239928
user22	574	363	1271690036142	0	0	6a22bd6753848068bc9845239928
user22	575	362	1271690036726	0	0	6a22bd6753848068bc9845239928
user22	577	361	1271690036734	0	0	6a22bd6753848068bc9845239928
user22	579	359	1271690036742	0	0	6a22bd6753848068bc9845239928
user22	582	357	1271690036750	0	0	6a22bd6753848068bc9845239928
user22	586	355	1271690036758	0	0	6a22bd6753848068bc9845239928
user22	593	351	1271690036766	0	0	6a22bd6753848068bc9845239928
user22	600	346	1271690036774	0	0	6a22bd6753848068bc9845239928
user22	608	342	1271690036782	0	0	6a22bd6753848068bc9845239928
user22	617	338	1271690036790	0	0	6a22bd6753848068bc9845239928
user22	627	333	1271690036798	0	0	6a22bd6753848068bc9845239928
user22	637	329	1271690036806	0	0	6a22bd6753848068bc9845239928
user22	649	325	1271690036814	0	0	6a22bd6753848068bc9845239928
user22	663	321	1271690036822	0	0	6a22bd6753848068bc9845239928
user22	677	317	1271690036830	0	0	6a22bd6753848068bc9845239928
user22	692	312	1271690036838	0	0	6a22bd6753848068bc9845239928
user22	705	307	1271690036846	0	0	6a22bd6753848068bc9845239928
user22	718	303	1271690036854	0	0	6a22bd6753848068bc9845239928
user22	732	299	1271690036862	0	0	6a22bd6753848068bc9845239928
user22	747	295	1271690036870	0	0	6a22bd6753848068bc9845239928
user22	763	291	1271690036878	0	0	6a22bd6753848068bc9845239928
user22	780	287	1271690036886	0	0	6a22bd6753848068bc9845239928
user22	797	282	1271690036894	0	0	6a22bd6753848068bc9845239928
user22	813	275	1271690036902	0	0	6a22bd6753848068bc9845239928
user22	829	267	1271690036910	0	0	6a22bd6753848068bc9845239928
user22	844	259	1271690036918	0	0	6a22bd6753848068bc9845239928
user22	858	252	1271690036926	0	0	6a22bd6753848068bc9845239928
user22	869	245	1271690036934	0	0	6a22bd6753848068bc9845239928
user22	879	237	1271690036942	0	0	6a22bd6753848068bc9845239928
user22	888	229	1271690036951	0	0	6a22bd6753848068bc9845239928
user22	896	221	1271690036958	0	0	6a22bd6753848068bc9845239928
user22	903	214	1271690036966	0	0	6a22bd6753848068bc9845239928
user22	909	207	1271690036975	0	0	6a22bd6753848068bc9845239928
user22	914	200	1271690036982	0	0	6a22bd6753848068bc9845239928
user22	918	194	1271690036990	0	0	6a22bd6753848068bc9845239928
user22	922	187	1271690036998	0	0	6a22bd6753848068bc9845239928
user22	927	182	1271690037007	0	0	6a22bd6753848068bc9845239928
user22	928	177	1271690037016	0	0	6a22bd6753848068bc9845239928
user22	931	172	1271690037022	0	0	6a22bd6753848068bc9845239928
user22	934	168	1271690037030	0	0	6a22bd6753848068bc9845239928
user22	936	164	1271690037038	0	0	6a22bd6753848068bc9845239928
user22	937	160	1271690037047	0	0	6a22bd6753848068bc9845239928
user22	938	159	1271690037054	0	0	6a22bd6753848068bc9845239928
user22	939	158	1271690037062	0	0	6a22bd6753848068bc9845239928
user22	939	157	1271690037070	0	0	6a22bd6753848068bc9845239928
user22	939	156	1271690037078	0	0	6a22bd6753848068bc9845239928
user22	940	156	1271690037086	0	0	6a22bd6753848068bc9845239928
user22	933	177	1271690037475	0	0	6a22bd6753848068bc9845239928
user22	933	177	1271690037583	1271690037509	1271690037583	6a22bd6753848068bc9845239928
user22	933	176	1271690038414	0	0	6a22bd6753848068bc9845239928
user22	932	173	1271690038422	0	0	6a22bd6753848068bc9845239928
user22	931	171	1271690038430	0	0	6a22bd6753848068bc9845239928
user22	931	169	1271690038438	0	0	6a22bd6753848068bc9845239928
user22	931	167	1271690038446	0	0	6a22bd6753848068bc9845239928
user22	930	167	1271690038518	0	0	6a22bd6753848068bc9845239928
user22	930	168	1271690044342	0	0	6a22bd6753848068bc9845239928
user22	930	172	1271690044350	0	0	6a22bd6753848068bc9845239928
user22	932	178	1271690044358	0	0	6a22bd6753848068bc9845239928
user22	932	182	1271690044366	0	0	6a22bd6753848068bc9845239928
user22	933	187	1271690044374	0	0	6a22bd6753848068bc9845239928
user22	933	191	1271690044382	0	0	6a22bd6753848068bc9845239928
user22	933	196	1271690044390	0	0	6a22bd6753848068bc9845239928
user22	933	202	1271690044398	0	0	6a22bd6753848068bc9845239928
user22	955	270	1271690044703	0	0	6a22bd6753848068bc9845239928
user22	955	270	1271690044903	1271690044751	1271690044903	6a22bd6753848068bc9845239928
user22	370	383	1271690036085	0	0	6a22bd6753848068bc9845239928
user22	574	364	1271690036111	0	0	6a22bd6753848068bc9845239928
user22	574	363	1271690036142	0	0	6a22bd6753848068bc9845239928
user22	575	362	1271690036726	0	0	6a22bd6753848068bc9845239928
user22	577	361	1271690036734	0	0	6a22bd6753848068bc9845239928
user22	579	359	1271690036742	0	0	6a22bd6753848068bc9845239928
user22	582	357	1271690036750	0	0	6a22bd6753848068bc9845239928
user22	586	355	1271690036758	0	0	6a22bd6753848068bc9845239928
user22	593	351	1271690036766	0	0	6a22bd6753848068bc9845239928
user22	600	346	1271690036774	0	0	6a22bd6753848068bc9845239928
user22	608	342	1271690036782	0	0	6a22bd6753848068bc9845239928
user22	617	338	1271690036790	0	0	6a22bd6753848068bc9845239928
user22	627	333	1271690036798	0	0	6a22bd6753848068bc9845239928
user22	637	329	1271690036806	0	0	6a22bd6753848068bc9845239928
user22	649	325	1271690036814	0	0	6a22bd6753848068bc9845239928
user22	663	321	1271690036822	0	0	6a22bd6753848068bc9845239928
user22	677	317	1271690036830	0	0	6a22bd6753848068bc9845239928
user22	692	312	1271690036838	0	0	6a22bd6753848068bc9845239928
user22	705	307	1271690036846	0	0	6a22bd6753848068bc9845239928
user22	718	303	1271690036854	0	0	6a22bd6753848068bc9845239928
user22	732	299	1271690036862	0	0	6a22bd6753848068bc9845239928
user22	747	295	1271690036870	0	0	6a22bd6753848068bc9845239928
user22	763	291	1271690036878	0	0	6a22bd6753848068bc9845239928
user22	780	287	1271690036886	0	0	6a22bd6753848068bc9845239928
user22	797	282	1271690036894	0	0	6a22bd6753848068bc9845239928
user22	813	275	1271690036902	0	0	6a22bd6753848068bc9845239928
user22	829	267	1271690036910	0	0	6a22bd6753848068bc9845239928
user22	844	259	1271690036918	0	0	6a22bd6753848068bc9845239928
user22	858	252	1271690036926	0	0	6a22bd6753848068bc9845239928
user22	869	245	1271690036934	0	0	6a22bd6753848068bc9845239928
user22	879	237	1271690036942	0	0	6a22bd6753848068bc9845239928
user22	888	229	1271690036951	0	0	6a22bd6753848068bc9845239928
user22	896	221	1271690036958	0	0	6a22bd6753848068bc9845239928
user22	903	214	1271690036966	0	0	6a22bd6753848068bc9845239928
user22	909	207	1271690036975	0	0	6a22bd6753848068bc9845239928
user22	914	200	1271690036982	0	0	6a22bd6753848068bc9845239928
user22	918	194	1271690036990	0	0	6a22bd6753848068bc9845239928
user22	922	187	1271690036998	0	0	6a22bd6753848068bc9845239928
user22	927	182	1271690037007	0	0	6a22bd6753848068bc9845239928
user22	928	177	1271690037016	0	0	6a22bd6753848068bc9845239928
user22	931	172	1271690037022	0	0	6a22bd6753848068bc9845239928
user22	934	168	1271690037030	0	0	6a22bd6753848068bc9845239928
user22	936	164	1271690037038	0	0	6a22bd6753848068bc9845239928
user22	937	160	1271690037047	0	0	6a22bd6753848068bc9845239928
user22	938	159	1271690037054	0	0	6a22bd6753848068bc9845239928
user22	939	158	1271690037062	0	0	6a22bd6753848068bc9845239928
user22	939	157	1271690037070	0	0	6a22bd6753848068bc9845239928
user22	939	156	1271690037078	0	0	6a22bd6753848068bc9845239928
user22	940	156	1271690037086	0	0	6a22bd6753848068bc9845239928
user22	933	177	1271690037475	0	0	6a22bd6753848068bc9845239928
user22	933	177	1271690037583	1271690037509	1271690037583	6a22bd6753848068bc9845239928
user22	933	176	1271690038414	0	0	6a22bd6753848068bc9845239928
user22	932	173	1271690038422	0	0	6a22bd6753848068bc9845239928
user22	931	171	1271690038430	0	0	6a22bd6753848068bc9845239928
user22	931	169	1271690038438	0	0	6a22bd6753848068bc9845239928
user22	931	167	1271690038446	0	0	6a22bd6753848068bc9845239928
user22	930	167	1271690038518	0	0	6a22bd6753848068bc9845239928
user22	930	168	1271690044342	0	0	6a22bd6753848068bc9845239928
user22	930	172	1271690044350	0	0	6a22bd6753848068bc9845239928
user22	932	178	1271690044358	0	0	6a22bd6753848068bc9845239928
user22	932	182	1271690044366	0	0	6a22bd6753848068bc9845239928
user22	933	187	1271690044374	0	0	6a22bd6753848068bc9845239928
user22	933	191	1271690044382	0	0	6a22bd6753848068bc9845239928
user22	933	196	1271690044390	0	0	6a22bd6753848068bc9845239928
user22	933	202	1271690044398	0	0	6a22bd6753848068bc9845239928
user22	514	597	1271690197669	0	0	6a22bd6753848068bc9845239928
user22	597	542	1271690197706	0	0	6a22bd6753848068bc9845239928
user22	680	489	1271690197738	0	0	6a22bd6753848068bc9845239928
user22	789	406	1271690197778	0	0	6a22bd6753848068bc9845239928
user22	900	287	1271690197986	0	0	6a22bd6753848068bc9845239928
user22	922	235	1271690198536	0	0	6a22bd6753848068bc9845239928
user22	930	230	1271690198545	0	0	6a22bd6753848068bc9845239928
user22	948	220	1271690198571	0	0	6a22bd6753848068bc9845239928
