User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user2	1160	282	1271390543353	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1159	282	1271390543396	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1158	280	1271390543404	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1156	280	1271390543412	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1154	278	1271390543420	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1153	277	1271390543428	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1150	277	1271390543436	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1149	275	1271390543444	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1148	275	1271390543516	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1147	275	1271390543524	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1145	273	1271390543532	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1142	272	1271390543540	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1137	270	1271390543548	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1135	270	1271390543556	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1132	268	1271390543564	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1130	268	1271390543572	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1127	266	1271390543580	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1124	266	1271390543588	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1122	266	1271390543596	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1119	264	1271390543605	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1116	263	1271390543621	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1115	260	1271390543628	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1112	259	1271390543636	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1108	254	1271390543644	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1103	249	1271390543652	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1094	244	1271390543660	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1087	239	1271390543668	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	236	1271390543676	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1078	234	1271390543684	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1077	233	1271390543692	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1075	233	1271390543700	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1074	231	1271390543724	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1073	231	1271390543732	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1071	229	1271390543740	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1068	226	1271390543756	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	226	1271390543764	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1064	224	1271390543772	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1061	223	1271390543788	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1060	222	1271390543860	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1059	221	1271390543876	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1059	221	1271390544005	1271390543933	1271390544005	4c7a4fc14ae9ad713cb204d9bed9
user2	1057	221	1271390545716	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1057	222	1271390545724	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1057	224	1271390545732	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1058	228	1271390545740	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1059	235	1271390545748	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1063	241	1271390545756	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1064	247	1271390545764	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1066	250	1271390545772	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	253	1271390545780	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	255	1271390545788	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	257	1271390545796	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	259	1271390545804	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1067	261	1271390545812	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1068	264	1271390545828	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1071	266	1271390545844	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1072	267	1271390545852	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1073	268	1271390545860	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1074	269	1271390545948	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1075	270	1271390545956	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1076	270	1271390545964	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1077	271	1271390545972	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1079	273	1271390545988	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	274	1271390546108	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	274	1271390546156	1271390546109	1271390546156	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	271	1271390644616	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	265	1271390644623	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	255	1271390644631	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1080	242	1271390644639	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	223	1271390644647	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	207	1271390644655	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	196	1271390644663	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	187	1271390644671	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	185	1271390644679	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	1082	184	1271390644687	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	675	56	1271390962482	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	677	55	1271390962490	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	679	52	1271390962498	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	682	49	1271390962506	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	683	48	1271390962514	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	686	47	1271390962522	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	688	45	1271390962530	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	691	44	1271390962546	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	692	44	1271390962554	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	693	44	1271390962562	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	695	44	1271390962578	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	695	45	1271390962714	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	695	46	1271390962730	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	695	47	1271390962746	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	696	48	1271390962754	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	696	49	1271390962770	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	696	49	1271390962882	1271390962795	1271390962882	4c7a4fc14ae9ad713cb204d9bed9
user2	563	445	1271390997189	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	567	442	1271390997196	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	574	439	1271390997204	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	436	1271390997212	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	435	1271390997300	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	434	1271390997308	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	431	1271390997316	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	425	1271390997324	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	417	1271390997332	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	579	409	1271390997340	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	579	401	1271390997348	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	580	392	1271390997356	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	580	386	1271390997364	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	383	1271390997372	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	578	382	1271390997380	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	574	382	1271390997428	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	571	380	1271390997436	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	567	380	1271390997444	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	562	378	1271390997452	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	558	377	1271390997460	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	555	374	1271390997468	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	552	372	1271390997476	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	551	371	1271390997484	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	551	370	1271390997492	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	549	368	1271390997500	0	0	4c7a4fc14ae9ad713cb204d9bed9
user2	549	365	1271390997508	0	0	4c7a4fc14ae9ad713cb204d9bed9
