User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user2	921	197	1272645090129	0	0	f6faad6142cf25df4ea7f044412e
user2	921	200	1272645090137	0	0	f6faad6142cf25df4ea7f044412e
user2	921	203	1272645090145	0	0	f6faad6142cf25df4ea7f044412e
user2	921	206	1272645090153	0	0	f6faad6142cf25df4ea7f044412e
user2	921	209	1272645090161	0	0	f6faad6142cf25df4ea7f044412e
user2	921	212	1272645090177	0	0	f6faad6142cf25df4ea7f044412e
user2	921	215	1272645090193	0	0	f6faad6142cf25df4ea7f044412e
user2	918	218	1272645090249	0	0	f6faad6142cf25df4ea7f044412e
user2	918	221	1272645090305	0	0	f6faad6142cf25df4ea7f044412e
user2	918	224	1272645090329	0	0	f6faad6142cf25df4ea7f044412e
user2	918	224	1272645090353	1272645090249	1272645090353	f6faad6142cf25df4ea7f044412e
user2	912	224	1272645090513	0	0	f6faad6142cf25df4ea7f044412e
user2	903	224	1272645090521	0	0	f6faad6142cf25df4ea7f044412e
user2	897	227	1272645090529	0	0	f6faad6142cf25df4ea7f044412e
user2	900	227	1272645093145	0	0	f6faad6142cf25df4ea7f044412e
user2	909	224	1272645093153	0	0	f6faad6142cf25df4ea7f044412e
user2	918	221	1272645093161	0	0	f6faad6142cf25df4ea7f044412e
user2	927	218	1272645093169	0	0	f6faad6142cf25df4ea7f044412e
user2	948	215	1272645093177	0	0	f6faad6142cf25df4ea7f044412e
user2	963	209	1272645093185	0	0	f6faad6142cf25df4ea7f044412e
user2	981	209	1272645093193	0	0	f6faad6142cf25df4ea7f044412e
user2	1005	209	1272645093201	0	0	f6faad6142cf25df4ea7f044412e
user2	1023	209	1272645093209	0	0	f6faad6142cf25df4ea7f044412e
user2	1041	212	1272645093217	0	0	f6faad6142cf25df4ea7f044412e
user2	1053	215	1272645093225	0	0	f6faad6142cf25df4ea7f044412e
user2	1062	221	1272645093233	0	0	f6faad6142cf25df4ea7f044412e
user2	1068	224	1272645093241	0	0	f6faad6142cf25df4ea7f044412e
user2	1068	227	1272645093249	0	0	f6faad6142cf25df4ea7f044412e
user2	1065	230	1272645093257	0	0	f6faad6142cf25df4ea7f044412e
user2	1062	233	1272645093265	0	0	f6faad6142cf25df4ea7f044412e
user2	1059	239	1272645093273	0	0	f6faad6142cf25df4ea7f044412e
user2	1056	242	1272645093281	0	0	f6faad6142cf25df4ea7f044412e
user2	1053	245	1272645093289	0	0	f6faad6142cf25df4ea7f044412e
user2	1047	251	1272645093297	0	0	f6faad6142cf25df4ea7f044412e
user2	1044	254	1272645093305	0	0	f6faad6142cf25df4ea7f044412e
user2	1044	257	1272645093313	0	0	f6faad6142cf25df4ea7f044412e
user2	1041	260	1272645093321	0	0	f6faad6142cf25df4ea7f044412e
user2	1038	263	1272645093329	0	0	f6faad6142cf25df4ea7f044412e
user2	1038	266	1272645093337	0	0	f6faad6142cf25df4ea7f044412e
user2	1035	269	1272645093345	0	0	f6faad6142cf25df4ea7f044412e
user2	1035	272	1272645093361	0	0	f6faad6142cf25df4ea7f044412e
user2	1029	272	1272645093377	0	0	f6faad6142cf25df4ea7f044412e
user2	1026	272	1272645093385	0	0	f6faad6142cf25df4ea7f044412e
user2	1017	272	1272645093393	0	0	f6faad6142cf25df4ea7f044412e
user2	1005	272	1272645093401	0	0	f6faad6142cf25df4ea7f044412e
user2	993	272	1272645093409	0	0	f6faad6142cf25df4ea7f044412e
user2	981	269	1272645093417	0	0	f6faad6142cf25df4ea7f044412e
user2	969	269	1272645093425	0	0	f6faad6142cf25df4ea7f044412e
user2	963	269	1272645093433	0	0	f6faad6142cf25df4ea7f044412e
user2	960	269	1272645093441	0	0	f6faad6142cf25df4ea7f044412e
user2	957	269	1272645093449	0	0	f6faad6142cf25df4ea7f044412e
user2	954	272	1272645093473	0	0	f6faad6142cf25df4ea7f044412e
user2	954	269	1272645093513	0	0	f6faad6142cf25df4ea7f044412e
user2	951	269	1272645093529	0	0	f6faad6142cf25df4ea7f044412e
