User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user5	887	72	1273089421860	0	0	a0af13e1377e3eaf106c12202a14
user5	886	70	1273089421876	0	0	a0af13e1377e3eaf106c12202a14
user5	885	67	1273089421876	0	0	a0af13e1377e3eaf106c12202a14
user5	882	62	1273089421881	0	0	a0af13e1377e3eaf106c12202a14
user5	879	58	1273089421907	0	0	a0af13e1377e3eaf106c12202a14
user5	876	54	1273089421915	0	0	a0af13e1377e3eaf106c12202a14
user5	873	51	1273089421922	0	0	a0af13e1377e3eaf106c12202a14
user5	870	48	1273089421931	0	0	a0af13e1377e3eaf106c12202a14
user5	869	44	1273089421939	0	0	a0af13e1377e3eaf106c12202a14
user5	867	41	1273089421948	0	0	a0af13e1377e3eaf106c12202a14
user5	864	38	1273089421969	0	0	a0af13e1377e3eaf106c12202a14
user5	863	35	1273089421969	0	0	a0af13e1377e3eaf106c12202a14
user5	862	33	1273089421978	0	0	a0af13e1377e3eaf106c12202a14
user5	861	32	1273089421985	0	0	a0af13e1377e3eaf106c12202a14
user5	861	30	1273089422001	0	0	a0af13e1377e3eaf106c12202a14
user5	860	27	1273089422009	0	0	a0af13e1377e3eaf106c12202a14
user5	860	24	1273089422016	0	0	a0af13e1377e3eaf106c12202a14
user5	860	19	1273089422024	0	0	a0af13e1377e3eaf106c12202a14
user5	860	14	1273089422047	0	0	a0af13e1377e3eaf106c12202a14
user5	860	10	1273089422047	0	0	a0af13e1377e3eaf106c12202a14
user5	290	26	1273089425063	0	0	a0af13e1377e3eaf106c12202a14
user5	295	66	1273089425064	0	0	a0af13e1377e3eaf106c12202a14
user5	303	111	1273089425079	0	0	a0af13e1377e3eaf106c12202a14
user5	319	165	1273089425094	0	0	a0af13e1377e3eaf106c12202a14
user5	361	219	1273089425094	0	0	a0af13e1377e3eaf106c12202a14
user5	419	278	1273089425104	0	0	a0af13e1377e3eaf106c12202a14
user5	480	337	1273089425116	0	0	a0af13e1377e3eaf106c12202a14
